,Subj_Pred,Obj,Obj_true,PMID
0,treatment of T2 DM pose,[start] a major cause of the cancer related genes [end],[start] a challenge for pediatric endocrinologists [end],15252375
1,Measures Perceived stress were assessed,[start] with a high incidence of cardiovascular diseases [end],[start] with Perceived Stress Scale [end],30024853
2,15 studies used,[start] [UNK] [UNK] [end],"[start] varied study designs and outcomes to test behavioral economic interventions in clinical , workplace , or health plan settings [end]",28755061
3,many efforts have been carried out,[start] to be aware of the increased risk of t2d [end],[start] to elucidate the possible mechanisms [end],29395440
4,Available studies support,[start] the potential for the management of t2d [end],[start] the usefulness of resistance training in the treatment of type 2 diabetes mellitus [end],10418073
5,disturbances in gene regulation decreased,[start] as a significant risk factor for cardiovascular disease [end],[start] utilization of glucose by tissues in hepatic handling of glucose with the onus on Gluconeogenesis [end],31336461
6,chronic inflammation associated,[start] with increased morbidity in patients of diabetes mellitus [end],[start] with diabetes mellitus [end],25866823
7,glycemic targets should reflect,[start] the risk of microvascular complications such as retinopathy in patients with type 2 diabetes mellitus [end],[start] presence of comorbid conditions [end],22424044
8,Relevant demographic factors influencing disease development are reviewed,[start] the risk of diabetes [end],[start] after that while emphasizing how a patient 's treatment requires changes over time [end],19425874
9,The aim of this review is,[start] to review recent guideline recommendations on therapeutic strategies while providing practical the management of the management of the management of,[start] to consider further implications for public health [end],22369258
10,advanced glycation end - products result,[start] available for the [UNK] of [UNK] [end],[start] in vasoconstriction [end],30409037
11,The identification of well - defined diabetic pedigrees will be,[start] [UNK] [end],[start] key to the discovery of the genes for diabetes [end],7813802
12,the challenges faced are,[start] as a high rate of prom complications [end],[start] to be considered while designing future management strategies [end],28914196
13,The agents reduce,[start] mortality rates [end],[start] inflammatory cytokines while normalizing membrane structure [end],24523032
14,Type 2 diabetes mellitus causes,[start] a bad haircut [end],[start] abnormal carbohydrate metabolism impaired insulin secretion [end],10348076
15,Ethnic minorities to have,[start] more likely to be high among patients [end],[start] worse control of their diabetes [end],24170484
16,many developing countries are equipped,[start] to provide the future strategies for surveillance of the best treatment strategies for surveillance [end],[start] ill [end],16573308
17,Background aims,[start] to provide the survival of patients with diabetes [end],[start] It is widely accepted that type [end],23868079
18,This article discusses,[start] the role of these in patients with [UNK] [end],[start] the current recommendations for diabetes self - management skills including medical nutrition therapy [end],29080584
19,Type 2 diabetes mellitus is,[start] a heterogeneous disease [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [end],[start] an established risk factor for nephropathic events [end],31490989
20,their meta - analyses have identified,[start] the risk of microvascular complications such as retinopathy in patients with type 2 diabetes mellitus [end],[start] multiple potential non-genetic biomarkers for the risk of T2D [end],31500825
21,The severities of insulin resistance parallel,[start] as a major cause of lung cancer cells in the world [end],[start] each other [end],12643175
22,weight loss is recommended,[start] for [UNK] [end],[start] as the cornerstone management measure [end],24070804
23,Bayesian meta - analysis showed,[start] that [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [end],[start] the relative risks of type 2 diabetes mellitus risk for individuals with hypertensive disorders during preeclampsia [end],27518283
24,The study of type 2 diabetes has been driven,[start] by advances in [UNK] studies enabling new insights into development of complications [end],[start] by advances in human genetics enabling new insights into development of complications [end],29699867
25,The agents reduce,[start] mortality rates [end],[start] insulin resistance while normalizing membrane lipid composition [end],24523032
26,The disease is not,[start] a high blood pressure [end],[start] specific to the U.S. [end],15832489
27,Diabetes can lead,[start] to the most common cancer in the [UNK] of [UNK] [end],"[start] to several complications , including peripheral arterial disease [end]",31775555
28,Lipid peroxidation is,[start] a heterogeneous disease [end],[start] a major causative factor for the development of oxidative stress [end],28460155
29,strategies to improve,[start] survival [end],[start] patient engagement [end],27430259
30,blood pressure - and / or lipid - control were investigated,[start] as [UNK] [end],[start] All studies [end],21829607
