,Subj_Pred,Obj,Obj_true,PMID
0,The aim of the present review is,[start] to review recent guideline recommendations on therapeutic strategies while providing practical the management of the management of the management of,[start] to determine the epidemiological characteristics of hereditary colorectal cancer in India [end],26842188
1,The aim of this review is,[start] to review recent guideline recommendations on therapeutic strategies while providing practical the management of the management of the management of,[start] to outline our current knowledge of the distinguishing features of early - onset CRC [end],28391421
2,defined stages go,[start] to explore the [UNK] [end],[start] from lesions in the crypt of the colon [end],14971997
3,"Demonstration of loss of DNA mismatch repair genes , hMSH2 provides",[start] a survival advantage [end],[start] additional diagnostic information [end],10647627
4,an ongoing commitment to remain,[start] available in the [UNK] [end],[start] current in advances [end],10074658
5,genetic factors play,[start] a major role in the development of t1d [end],[start] a major role in the pathogenesis of colon cancer [end],30646512
6,Asian Americans had,[start] a high incidence of diabetes [end],[start] significantly low rates for CRC screening [end],23991947
7,This article focuses,[start] on the latest advances in clinical trials research on the treatment for prostate cancer [end],[start] on the recommended preoperative evaluation of patients [end],16389149
8,11 of 43 patients with venous tumor thrombosis could survive,[start] the risk of microvascular complications such as retinopathy in patients with type 2 diabetes mellitus [end],[start] for more than 2 years after the diagnosis although five of the 11 patients had liver metastasis [end],27693064
9,screening has not resulted,[start] in in all subjects with chronic respiratory diseases [end],[start] in a reduced incidence of colorectal cancer in true population studies despite removal of two to three times as many possible precursors compared to controls So far [end],11036284
10,the important roles played,[start] on prognostic aspects of lung cancer [end],"[start] by patient trust in one 's physician in addressing colorectal cancer disparities , including the need for studies [end]",27294749
11,Understanding of the mechanism of colorectal carcinogenesis has been gaining,[start] as a [UNK] of [UNK] [UNK] [UNK] [end],[start] momentum for some years on account of its high incidence [end],19283877
12,nurses to understand to provide,[start] the potential to improve treatment strategies [end],[start] accurate information regarding management [end],17476735
13,Between 20 % have,[start] [UNK] [end],[start] a family history of the disease [end],26520200
14,the world becomes,[start] a [UNK] of [UNK] [end],[start] more industrialised [end],27165364
15,enforced expression of hsa_circ_0005075 potentiated,[start] the pathogenesis of colorectal cancer [end],[start] the proliferation [end],31476947
16,Colorectal cancer is,[start] a heterogeneous disease [end],[start] an important cause of cancer - related mortality [end],28391421
17,About 50 % of colorectal cancers are attributed,[start] to several complications including retinopathy [end],[start] to about 15 % - 20 % [end],9847903
18,the majority of CRCs are,[start] more than [UNK] [end],[start] in fact sporadic rather than familial [end],28391421
19,colorectal tumors are,[start] more prevalent among women in women [end],[start] immunoresponsive [end],30465238
20,Colorectal cancer is,[start] a heterogeneous disease [end],[start] one of the leading cause of death by cancer worldwide in both women [end],31605233
21,diverse organisational aspects can favour,[start] in general population [end],[start] the correct management of their relatives [end],27888866
22,the effects have had,[start] the effect of [UNK] [end],"[start] in the assessment of this disease , including therapeutic assessment [end]",17329195
23,This review presents,[start] the potential for the management of t2d [end],"[start] commonly encountered findings in the diagnosis of patients with colorectal cancer using computed tomography ( CT ) colonography , magnetic resonance imaging [end]",25493009
24,PET / CT colonography is,[start] abbreviated [UNK] [end],[start] valuable in the evaluation of hepatic disease [end],25493009
25,A model of cancer development involving cancer stem cells has been put,[start] as [UNK] of [UNK] [UNK] [end],[start] forward because it provides a possible explanation of tumor hierarchy [end],23674867
26,Differences were noted,[start] in the study of [UNK] in the [UNK] [end],[start] in biologic properties of distal segments of normal adult colonic epithelium [end],2240880
27,future policy initiatives aimed,[start] to provide a timely breast cancer the treatment of the treatment of gastric cancer the patient s role of [UNK],[start] at reducing disparities [end],16682737
28,other parameters are assessed,[start] in the pathology report to indicate the prognosis of the disease [end],[start] in the pathology report to indicate the extent of the disease [end],29414818
29,the management of early colorectal cancer assumes,[start] the risk of microvascular complications such as retinopathy in patients with type 2 diabetes mellitus [end],[start] increasing importance With the introduction of colorectal cancer screening [end],9607526
30,This marker to better understand,[start] the role of these in [UNK] [UNK] [end],[start] the characteristics of cancer stem cells [end],23674867
31,nurses to understand,[start] the risk of microvascular complications such as retinopathy in patients with type 2 diabetes mellitus [end],[start] how to provide accurate information regarding screening [end],17476735
32,both of non-mutation carriers are discussed,[start] in the study [end],[start] in familial adenomatous polyposis [end],10647626
33,EOCRC to have,[start] the leading cause of morbidity in women in the world [end],[start] a different spectrum of clinical [end],29616330
34,the calculations are based,[start] on the [UNK] of [UNK] [end],[start] on the unhydrated Hemoccult - II test in randomized trials [end],11036284
35,a woman will undergo,[start] [UNK] [end],[start] colonoscopy [end],21601788
36,histone modification are involved,[start] in [UNK] [end],[start] in a complex network [end],22156874
37,the dense local lymphocyte infiltration is,[start] a major cause of death in women [end],[start] typical of MSI - H colorectal cancer [end],24196629
38,a heterogeneous disease caused,[start] by the disease [end],[start] in part by epigenetic alterations [end],21635968
39,two hundred fifty three thousand cases were diagnosed,[start] in the study [end],[start] in China accounted for 18.6 % In 2012 one million thirty six thousand cases of colorectal cancer [end],29562407
40,Caring for patients with hereditary colorectal cancer syndromes requires,[start] the need for the development of t1d [end],[start] nurses to understand how to provide accurate information regarding screening [end],17476735
41,Environmental risk factors for colorectal cancer are found,[start] in the study [end],"[start] in a western diet , rich in low in fruit [end]",9106701
42,30 articles were found on,[start] on the [UNK] of [UNK] [end],[start] Chinese [end],23991947
43,the vascular anatomy facilitates,[start] the role of the development of t1d [end],[start] laparoscopic surgery [end],25493009
