,Subj_Pred,Obj,Obj_true,PMID
0,More aggressive screening measures using,[start] [UNK] [end],[start] a lower prostate - specific antigen [end],16885911
1,Markers are needed,[start] for use of [UNK] [end],[start] for screening distinguishing latent from predicting outcome [end],21319990
2,bacterial strains to express,[start] diabetes risk [end],[start] cancer - specific antigens [end],30324354
3,dietary strategies targeting,[start] diabetes [end],[start] metabolic syndrome [end],30893147
4,all patients having localized,[start] to provide the child with the skills necessary to manage diabetes over a lifetime [end],[start] disease [end],23773409
5,targeting prostate CSCs for the prevention of treatment of prostate cancer could become,[start] a major role in the development of t1d [end],[start] a novel strategy for better treatment of patients [end],22369972
6,the companion book titled,[start] clinical significance [end],[start] Clinical Diagnostic Imaging of Prostate Cancer [end],30229546
7,a novel decisional aid is included,[start] [UNK] [UNK] [UNK] [end],[start] treatment - related factors [end],29549504
8,lncRNAs may serve,[start] significant risk factors [end],[start] as therapeutic targets helping to prevent development of castration resistance [end],28241429
9,organ confined,[start] [UNK] [end],[start] disease [end],29633943
10,Markers are needed,[start] for use of [UNK] [end],[start] for diagnosis distinguishing latent from differentiating localized from metastatic disease [end],21319990
11,Some of the new targets are,[start] the leading cause of [UNK] [end],[start] PARP inhibitors [end],29860848
12,The prevalence is increasing,[start] [UNK] [UNK] [UNK] [end],[start] in both developed and developing nations [end],26560323
13,This overview reviews,[start] the role of the in the pathogenesis of t2 dm [end],[start] the current state of PRS for prostate cancer including testing considerations [end],31629419
14,prognostic determinant biomarkers to minimize,[start] for the early detection of cardiovascular disease in the early detection of cardiovascular disease among treatment [end],[start] overtreatment of localized disease [end],30181359
15,tumor - associated immune cells play,[start] the risk of microvascular complications such as retinopathy in patients with type 2 diabetes mellitus [end],[start] major roles in the initiation [end],31134920
16,Many PSMA ligands have been developed,[start] in the past 10 years [end],[start] since the previous decade [end],32147685
17,"The interplay between genetics , diet , and prostate cancer is",[start] important in the treatment of t2d patients [end],[start] an area of emerging focus that might help optimize therapeutic dietary response in the future through personalization [end],30893147
18,phase 3 trials did n't show,[start] a major public health problem [end],[start] any improvement in overall survival ( OS ) especially with immune checkpoint inhibitors [end],29860848
19,Nurses for ensuring,[start] [UNK] [end],[start] men have the support [end],24754104
20,Recent data have solidified,[start] the potential to be more effective treatment of t2d patients [end],[start] the association between insulin resistance and prostate cancer with the homeostatic model assessment of insulin resistance [end],30893147
21,Physicians treating,[start] the [UNK] of [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [end],[start] patients with prostate cancer [end],24274615
22,The present results suggest,[start] that a high rate of prom [end],[start] that the lymphovascular invasion were independent predictive factors for progression to castration - resistant prostate cancer [end],32500468
23,the concentration of androgen required,[start] as a high incidence of diabetes [end],[start] for maximal stimulation of the receptor [end],24384911
24,71 investigators focused,[start] on the latest advances in clinical clinical translation of these clinical characteristics [end],[start] on a variety of other fields including ovarian cancer [end],28925066
25,This review discusses,[start] the risk of microvascular complications such as retinopathy in patients with type 2 diabetes mellitus [end],[start] the oncologic rationale for focal therapy in localized prostate cancer [end],32558805
26,PET scans have shown to perform well,[start] in the [UNK] of [UNK] [end],[start] in the restaging of this category of patients [end],30684842
27,an area of emerging focus might help,[start] to provide the child with the skills of the healthcare personnel [end],[start] optimize therapeutic dietary response in the future through personalization [end],30893147
28,the most pertinent problems stemming,[start] to provide a timely breast cancer the the treatment of the first leading causes of death [end],[start] from the extreme heterogeneity of prostate cancer [end],29393241
29,Purpose of review summarizes,[start] research [end],[start] the rapid progress being made in treatment of advanced prostate cancer [end],30925537
30,advanced disease does not respond,[start] to [UNK] [end],[start] to androgen deprivation therapy [end],18786842
31,cure is,[start] important for the disease [end],[start] no longer achievable therapeutic approaches for increase of survival are needed a situation [end],26728408
32,the proportion of prostate cancer is,[start] a major cause of death in the world [end],[start] small To date [end],27986209
33,Results included,[start] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [end],[start] new treatment strategies for the role of extracellular vesicles in their potential as biomarkers [end],31825540
34,Androgen deprivation therapy is,[start] a major cause of cancer related mortality in the united states [end],[start] the mainstay treatment for patients with prostate cancer [end],24274615
35,chemotherapy to treat,[start] the [UNK] of [UNK] [end],[start] dogs with prostate cancer [end],18786842
36,clinical trials were conducted,[start] to provide a timely breast cancer the the treatment of the most common prognosis [end],"[start] over the course of the last decade , first among patients with castration resistant prostate cancer , then among those with hormone - sensitive disease [end]",32462838
37,"""""""""""""""""""""""""""""""This """""""""""""""""""""""""""""""" middle ground """""""""""""""""""""""""""""""" of therapy , between active surveillance and whole - gland treatment"""""""""""""""""""""""""""""" is appealing",[start] the leading cause of death in the world [end],[start] to patients because the risk for side effects is believed to be lower with focal therapy than with whole - gland treatment [end],32558805
38,novel liquid biopsy approaches might support,[start] for treatment strategies for prevention of cardiovascular disease [end],[start] an individual patient - centred oncological approach in the nearer future [end],29198331
39,bacterial strains have been engineered,[start] as lung cancer risk [end],[start] to express cancer - specific prodrug - converting cytokines [end],30324354
40,many elements regarding the management of patients with prostate cancer remain,[start] the risk of microvascular complications such as retinopathy in patients with type 2 diabetes mellitus [end],[start] enigmatic [end],21479346
41,accessibility for transcriptional regulation play,[start] the risk of microvascular complications such as glucose tolerance [end],[start] key roles in prostate cancer initiation still [end],32139297
42,a clinical case managed,[start] for all of the risk of diabetes [end],[start] at our institution [end],28882782
43,HDRBT in prostate cancer can be practiced safely,[start] to explore the indirect influence of partners beliefs on diabetes distress at follow up [end],[start] within the context of these guidelines with the main indication [end],23773409
44,a matrigel plug containing,[start] a computer [end],[start] human prostatic stroma [end],17939301
45,The improvement in quality of life with TTh understood,[start] a significant prognosis [end],[start] while the argument for significantly increased risk of cancer or other adverse effects is much less robust [end],29961247
46,Surgery has been limited,[start] to the [UNK] of [UNK] [end],[start] by the aggressive nature of the disease [end],18786842
47,This article addresses,[start] the study of [UNK] in the treatment of gastric cancer [end],"[start] surgical aspects germane to the management of men with prostate cancer , including patient selection for minimization of positive surgical margins [end]",24188255
48,teachers to obtain,[start] practical information on new therapies including new updated clinical trials [end],[start] updated information on new therapies including new updated clinical trials [end],30229546
49,more cancers being detected,[start] in the [UNK] of [UNK] [end],[start] at a lower stage [end],17432554
50,all of which have shown,[start] that [end],[start] significant improvement on overall survival [end],29266472
51,receptors belonging,[start] to the [UNK] of [UNK] [UNK] [UNK] [end],[start] to the a hydrolyzing enzyme [end],21912423
52,the poor specificity of the PSA test in men with benign prostatic hyperplasia leads,[start] to be [UNK] [end],[start] to high rates of prostate biopsy [end],17432554
53,how epigenetic change regulates,[start] the progression of cardiovascular disease [end],[start] the progression of the interaction between epigenetic modulators [end],32139297
54,The combination of long - term androgen deprivation therapy has been shown,[start] the risk of microvascular complications such as retinopathy in patients with type 2 diabetes mellitus [end],[start] in multiple clinical trials to prolong overall survival in men with high - risk prostate cancer compared with either treatment alone [end],25708578
55,Results included,[start] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [end],[start] new treatment strategies for targeted therapies [end],31825540
56,mCRPC represents,[start] a major cause of the morbidity of diabetes [end],[start] a situation where cure is no longer novel therapeutic approaches for palliation are needed [end],26728408
57,Antibody - based targeted immunotherapy and dendritic - cell - based vaccination are,[start] for use in early detection of colorectal cancer [end],[start] among the therapies [end],30324354
58,This failure of androgen deprivation is related,[start] the risk of microvascular complications such as retinopathy in patients with type 2 diabetes mellitus [end],[start] to the emergence of splice variants of the androgen receptor [end],28945566
59,endocrine function implicated,[start] in the pathogenesis of colorectal cancer [end],[start] by the importance of endocrine function in the treatment of prostate cancer [end],6387660
60,novel agents that target certain biological pathways to highlight,[start] the risk of microvascular complications such as retinopathy in patients with type 2 diabetes mellitus [end],[start] the likely future directions for progress in the clinical management of advanced prostate cancer [end],32209821
61,The importance of long non-coding RNAs ( lncRNAs ) in the pathogenesis of various malignancies has been uncovered,[start] as a major cause of cancer related genes in the every stage of diabetes [end],[start] over the last few years [end],28241429
62,This review highlights,[start] the basis for the application of therapies of cardiovascular disease in this review [end],[start] the most important studies on elastography to follow the improvements [end],24452740
63,most patients experience,[start] [UNK] [end],[start] resistant to disease progression eventually [end],30374010
64,"These advances , along with an improved understanding of the adaptive responses to immunotherapy are catalyzing",[start] to provide the influence of partners beliefs on diabetes distress [end],[start] development of more effective therapeutic strategies for advanced disease [end],30181359
65,Effective diagnostic investigation decisions require,[start] the risk of t2d [end],"[start] additional factors , above , for a more individual treatment approach [end]",31466098
66,tumor profiling technologies include,[start] disease [end],"[start] next - generation sequencing , epigenetic , transcriptomic methods [end]",28635333
67,Accumulated evidence shows,[start] that the risk of gastric cancer progression [end],[start] that chromatin integrity still play key roles in prostate cancer progression [end],32139297
68,The risk of over-diagnosing ( indicated by all the major American studies is,[start] a significant burden on caregivers [end],[start] real [end],28255369
69,lncRNAs may prohibit,[start] [UNK] [UNK] [UNK] [end],[start] metastatic spread [end],28241429
70,the issues make,[start] the risk of microvascular complications such as retinopathy in patients with type 2 diabetes mellitus [end],[start] a difference to patients [end],17432554
71,sexual dysfunction resulted,[start] as a leading cause of death among [UNK] women [end],[start] from radical prostatectomy often [end],8290819
72,men with favorable intermediate - risk prostate cancer may be,[start] as complementary care in both the secondary preventions of cardiovascular disease [end],"[start] candidates for active surveillance , dose - escalated radiation therapy without short - term androgen deprivation therapy ( ADT ) , or , interestingly , standard - dose radiation therapy plus short - term ADT [end]",26984216
73,Polygenic risk scores ( PRS ) combining these variants are,[start] more likely to be [UNK] [end],[start] now clinically available [end],31629419
74,The present paper to deliver,[start] [UNK] [end],[start] new research data [end],28255369
75,endocrine function implicated,[start] in the pathogenesis of colorectal cancer [end],[start] by the importance of endocrine function in normal prostatic growth [end],6387660
76,Robot - assisted radical prostatectomy has increased,[start] in [UNK] [end],"[start] in popularity although other options exist , including radiotherapy [end]",29549504
77,the lead time associated,[start] with a high incidence of cardiovascular disease [end],[start] with PSA testing [end],18568350
78,Prostate cancer is,[start] a leading cause of death in women [end],[start] a disease that presents a wide spectrum from low aggressiveness [end],29633943
79,This event is,[start] a [UNK] of [UNK] [end],[start] the foremost scientific conference in the world focusing on clinical prostate cancer research with the highest potential for improving the lives of prostate cancer patients [end],27272144
80,The decision about choosing the right treatment has become,[start] a role in [UNK] [end],[start] pertinent for many patients [end],29549504
81,many men with newly diagnosed prostate cancer may be,[start] with the disease [end],[start] candidates for active surveillance [end],29580436
82,This meeting report provides,[start] a major role in the development of t1d [end],[start] a comprehensive summary of the talks [end],31825540
83,HDRBT in prostate cancer can be practiced effectively,[start] as [UNK] [end],[start] within the context of these guidelines with the main indication [end],23773409
84,the rapid progress being made,[start] a [UNK] of [UNK] [end],[start] in treatment of advanced prostate cancer [end],30925537
85,the recent data supporting the early use of novel androgen receptor inhibitors in advanced prostate aim to frame,[start] in the study of [UNK] [end],[start] how these drugs may fit within the existing context of docetaxel [end],32209821
86,immunotherapy has offered,[start] by the presence of [UNK] [UNK] [UNK] [UNK] [UNK] [end],[start] new possibilities to treat metastatic prostate cancer [end],30324354
87,clinically relevant cancers may benefit,[start] for the patient s [end],[start] from radical treatment [end],18568350
88,the etiologic importance of these is,[start] responsible for the mortality of coronary artery disease [end],[start] uncertain [ 55 [end],6387660
89,Nurses are,[start] more successful in patients with copd [end],[start] responsible for ensuring men have the support [end],24754104
90,repeat biopsies performed,[start] for the disease [end],[start] at 4 years in men under AS programs [end],28635333
91,The results of retrospective studies could assist,[start] the association of cardiovascular disease risk factors [end],[start] in developing a treatment strategy for advanced prostate cancer [end],29266472
92,Our understanding of the natural history of prostate cancer is progressing,[start] the same thing as [UNK] of [UNK] [end],[start] over time [end],17432554
93,"checkpoint immunotherapy , next - generation technologies visualize",[start] tumor microenvironment [end],[start] tumor microenvironment ( TME ) and molecular pathology [end],31825540
94,the available evidence regarding,[start] the role of these [UNK] in treatment of the disease [end],[start] etiopathogenesis [end],28882782
95,The limitations of these studies include,[start] the risk of microvascular complications such as retinopathy in patients with type 2 diabetes mellitus [end],"[start] the assumption that dietary or plasma alpha - linolenic acid levels are positively associated with prostate tissue alpha - linolenic acid levels , and measurement errors of dietary , plasma and red blood cell alpha - linolenic acid levels [end]",15017185
96,a significant amount of patients undergone,[start] [UNK] [UNK] [UNK] [end],[start] radiotherapy [end],25219826
97,Prostate cancer was,[start] in the [UNK] of [UNK] [end],[start] the first cancer in which immunotherapy vaccine was approved by FDA in 2010 named Sipuleucel - T. No new immunotherapies have been approved since as phase 3 trials did n't show any improvement in overall survival ( OS ) especially with immune checkpoint inhibitors [end],29860848
98,a revision of the guidelines to update,[start] the effect of [UNK] on the need for a lifetime [end],[start] the findings [end],20414018
