,Subj_Pred,Obj,Obj_true,PMID
0,the maximum amount of therapy can tolerate,[start] the same mutation in the prion gene in quanto1 families [end],[start] towards a new paradigm [end],24890450
1,This disease has,[start] [UNK] [end],[start] a lot of similarities with female breast cancer [end],16630739
2,these subtypes are closely correlated,[start] with a [UNK] [end],[start] to clinical variables [end],23412797
3,much clinical attention has been focused,[start] on the [UNK] of the treatment of gastric cancer [end],[start] on saving the lives of women with this condition [end],17678765
4,The aim of this article is,[start] to provide the current knowledge of the clinical issues [end],"[start] to overview the reality of breast cancer at present , trying to clarify the numerous elements of classification , otherwise confusing [end]",16555440
5,pathologic approaches have yielded,[start] the effect of [UNK] in the development of gastric cancer [end],[start] an unprecedented change in our understanding of the heterogeneity of breast cancer metastasis Recently [end],31421262
6,Genetic mutations should be suspected,[start] [UNK] [UNK] [end],[start] in women [end],8610264
7,This review serves,[start] the information on the use of the [UNK] of [UNK] [end],[start] to report on important developments in the treatment of breast malignancies [end],24171821
8,the social issues related to the disease will be reviewed,[start] a potential for preserving therapy [end],[start] In this final section [end],25002350
9,males with breast cancer have none of the recognised risk factors indicating,[start] the most important ongoing studies [end],[start] the gaps in our knowledge of the epidemiology of this disease [end],26989051
10,"Approximately 230,480 new cases of invasive breast cancer and 39,520 breast cancer deaths to occur",[start] in [UNK] [end],[start] among US women in 2011 [end],21969133
11,Knowledge of response to treatment making,[start] [UNK] [end],[start] the survival rates for patients with breast cancer more optimistic [end],8827331
12,Making efforts to improve the overall survival for patients with breast cancer must be,[start] more important in the developing countries [end],[start] the top priority for our surgeon [end],30704209
13,definitions used,[start] measure the progress [end],[start] in clinical outcome measures [end],23618694
14,Breast cancer have been used,[start] for the most common cancer of the women [end],[start] for guiding the management of patients [end],16211226
15,This paper 's mail goal is,[start] to elucidate this entity by reviewing the current medical literature till april 2011 [end],"[start] to elucidate this entity , by presenting several aspects of the disease including major differences between the groups of breast cancer patients , by reviewing the current medical literature till April 2011 [end]",21680175
16,male patients compared,[start] the disease [end],[start] with females [end],26989051
17,treatment options maximize,[start] long term survival [end],[start] long - term survival while accounting for life expectancy [end],23915745
18,improved methods of classification promise,[start] the risk of gastric cancer [end],[start] better patient prognosis [end],24171821
19,other guidelines are utilized,[start] to treat the disease [end],[start] all over the world frequently [end],20414016
20,The histopathological characteristics of these cancers might be driven,[start] by the most important [UNK] [UNK] [end],[start] by specific genetic alterations providing direct evidence for genotypic - phenotypic correlations between morphological patterns and molecular changes in breast cancer [end],19942925
21,younger women have,[start] a significant effect [end],[start] a poorer prognosis In relation to older women [end],8610264
22,primary prevention may contribute,[start] to the disease [end],[start] to a decrease in mortality [end],29284222
23,patients aged,[start] in the [UNK] [end],[start] 40 years [end],21969133
24,mediators enhances,[start] the [UNK] [end],[start] the immune system 's recognition [end],31157481
25,omitting surgery is,[start] a major public health issue [end],[start] an effective alternative to surgery in breast cancer [end],32378709
26,women who have been classified as members of the high - risk groups have,[start] to examine the association between polypharmacy and all cause of all cause of the [UNK] [end],"[start] expectations of effective prevention or prophylactic therapy that can not , as yet , be delivered [end]",8947910
27,considered stage requires,[start] [UNK] [UNK] [end],"[start] induction chemotherapy followed by mastectomy , [end]",20521754
28,Breast cancer is,[start] the most common cause of cancer death [end],[start] a complex disease comprising multiple tumor entities [end],19942925
29,physicians are making,[start] [UNK] [end],[start] progress in the treatment of patients with this disease [end],10572545
30,Epigenetic modifications such as DNA methylation have been thoroughly evaluated,[start] the most important ongoing role [end],[start] in breast cancer [end],24382432
31,The previous two articles have outlined the principles behind breast health detailing,[start] common treatment for breast cancer [end],"[start] common treatment for breast cancer , including chemotherapy [end]",19186363
32,A Cox regression model to examine,[start] the association between polypharmacy and all cause of all cause of cancer mortality [end],"[start] the association between sex and breast cancer mortality after controlling for prognostic factors , including surgery [end]",30007834
33,Advancement of cancer immunotherapy is rapidly increasing,[start] with a high risk of lung cancer [end],[start] with most interesting therapy compared to other therapy like targeted surgery [end],31157481
34,A primary challenge for future drug development in breast cancer will be,[start] important [end],[start] to distinguish genes [end],21764517
35,multiple tumor entities associated,[start] with [UNK] [UNK] [end],[start] with different biological features [end],19942925
36,The articles reviews,[start] the treatment of type 2 diabetes [end],[start] the epidemiology of breast facilities [end],23244071
37,the improvement in breast cancer survival in men has fallen,[start] likely to be diagnosed with lung cancer in patients [end],[start] behind that of women [end],30007834
38,Implications for nursing : The main difficulties with basal - like breast cancer are,[start] the [UNK] of the community in [UNK] [end],"[start] its aggressive treatment refractory nature , all of which pose real challenges for clinical management [end]",25355019
39,local recurrence can be,[start] important [end],[start] the risk of a subsequent distant metastasis [end],32378709
40,intensive efforts have demonstrated,[start] the opportunity to win [end],"[start] that breast cancer exhibits metastatic heterogeneity with distinct metastatic precedence to various organs , giving rise to differences in responses to therapy in breast cancer patients Over the past few years [end]",31421262
41,more people with a personal history of breast cancer are living,[start] the [UNK] [UNK] [end],[start] longer [end],21908782
42,the American Cancer Society provides,[start] a major health risk factor for gastric cancer [end],"[start] an overview of female breast cancer statistics in the United States , including trends in screening In this article [end]",21969133
43,Prevention of breast cancer will be examined,[start] the most important role in the development of lung cancer [end],[start] in two trials with multiple disease end points [end],8305544
44,This review to address,[start] the current state of the information of the literature [end],[start] issues specific to caring for the young breast cancer patient including potential for development of contralateral breast cancer [end],27542172
45,the advantages of this molecular genetic movement include,[start] the [UNK] [UNK] [UNK] [end],[start] the abilities ( a ) to predict who is ; ( b ) to provide opportunities for management ; ( c ) to give patients the information they need to make appropriate long - term decisions about matters such as procreation ; and ( d ) to give genetic counselors the information [end],8976406
46,the authors introduce,[start] the current state of the art methods for diagnosing prostate cancer [end],[start] the topic of breast cancer survivorship In this chapter [end],26059925
