,Subj_Pred,Obj,Obj_true,PMID
0,The aim of the present review is,[start] to provide a significant association between t1 dm and the clinical characteristics [end],[start] to determine the epidemiological characteristics of hereditary colorectal cancer in India [end],26842188
1,The aim of this review is,[start] to provide the current knowledge of the possible treatment of lung cancer [end],[start] to outline our current knowledge of the distinguishing features of early - onset CRC [end],28391421
2,defined stages go,[start] [UNK] [end],[start] from lesions in the crypt of the colon [end],14971997
3,"Demonstration of loss of DNA mismatch repair genes , hMSH2 provides",[start] a [UNK] [UNK] [end],[start] additional diagnostic information [end],10647627
4,an ongoing commitment to remain,[start] [UNK] [end],[start] current in advances [end],10074658
5,genetic factors play,[start] a major risk factor [end],[start] a major role in the pathogenesis of colon cancer [end],30646512
6,Asian Americans had,[start] a [UNK] [UNK] [end],[start] significantly low rates for CRC screening [end],23991947
7,This article focuses,[start] on the need for new therapeutic strategies [end],[start] on the recommended preoperative evaluation of patients [end],16389149
8,11 of 43 patients with venous tumor thrombosis could survive,[start] for [UNK] patients with t2 dm [end],[start] for more than 2 years after the diagnosis although five of the 11 patients had liver metastasis [end],27693064
9,screening has not resulted,[start] in the treatment of type 2 diabetes [end],[start] in a reduced incidence of colorectal cancer in true population studies despite removal of two to three times as many possible precursors compared to controls So far [end],11036284
10,the important roles played,[start] a major component of the management of gastric cancer [end],"[start] by patient trust in one 's physician in addressing colorectal cancer disparities , including the need for studies [end]",27294749
11,Understanding of the mechanism of colorectal carcinogenesis has been gaining,[start] significantly higher of those [end],[start] momentum for some years on account of its high incidence [end],19283877
12,nurses to understand to provide,[start] the results of the [UNK] [UNK] [UNK] [UNK] [UNK] [end],[start] accurate information regarding management [end],17476735
13,Between 20 % have,[start] [UNK] [UNK] [end],[start] a family history of the disease [end],26520200
14,the world becomes,[start] [UNK] [end],[start] more industrialised [end],27165364
15,enforced expression of hsa_circ_0005075 potentiated,[start] the association between polypharmacy and all cause of be [UNK] [end],[start] the proliferation [end],31476947
16,Colorectal cancer is,[start] a major cause of cancer related death [end],[start] an important cause of cancer - related mortality [end],28391421
17,About 50 % of colorectal cancers are attributed,[start] to [UNK] [UNK] [end],[start] to about 15 % - 20 % [end],9847903
18,the majority of CRCs are,[start] the same time [end],[start] in fact sporadic rather than familial [end],28391421
19,colorectal tumors are,[start] the most important [UNK] [end],[start] immunoresponsive [end],30465238
20,Colorectal cancer is,[start] a major cause of cancer related death [end],[start] one of the leading cause of death by cancer worldwide in both women [end],31605233
21,diverse organisational aspects can favour,[start] the treatment of type 2 diabetes [end],[start] the correct management of their relatives [end],27888866
22,the effects have had,[start] to [UNK] [end],"[start] in the assessment of this disease , including therapeutic assessment [end]",17329195
