,Subj_Pred,Obj,Obj_true,PMID
0,Immune - based interventions are opening up,[start] to treat the disease [end],[start] entirely novel therapeutic avenues [end],12908509
1,few randomized controlled trials addressing,[start] [UNK] [end],[start] fatigue and diabetes - related symptoms [end],29944065
2,i ) YWD e p e p,[start] millions of years old with [UNK] [end],[start] in EE [end],26771087
3,These data in planning,[start] the most important ongoing research [end],[start] resource allocation [end],16898876
4,Few studies report,[start] that the [UNK] [UNK] [UNK] [UNK] [UNK] [end],[start] on all admissions to hospital [end],18053255
5,1 diabetes is associated with,[start] a major health risk factor for the development of gastric cancer [end],[start] chronic hyperglycemia [end],12502506
6,Intensive training of professionals in the field is,[start] [UNK] [end],[start] necessary [end],30799818
7,the younger age at onset may suggest,[start] that the [UNK] is still [end],"[start] a stronger genetic susceptibility , associated with a more aggressive autoimmune process [end]",26062518
8,diabetes is worldwide,[start] the most common cause of cancer [end],[start] a growing health challenge [end],15229371
9,public health campaign is,[start] the most important health problem [end],[start] a potential opinion of the healthcare personnel [end],29083332
10,The patient was,[start] in the past 20 years on account of its clinical application advantages such as [UNK] invasive visual line making it,[start] a 71 - year - old woman with aquaporin -4-antibody positive neuromyelitis optica [end],30918186
11,Type 1 diabetes presenting in adults is predominantly determined,[start] by [UNK] [end],[start] by non-genetic factors [end],12116172
12,The 5 -10-years risk for type 1 diabetes varies,[start] a significant increase of the risk of gastric cancer [end],[start] from 0 - 1 % in individuals with only one positive antibodies to 62 - 100 % in subjects [end],11460579
13,T1 DM has the pathogenesis of,[start] a new treatment strategy [end],[start] 1 diabetes mellitus [end],20351698
14,an autoimmune disorder afflicting,[start] the [UNK] [UNK] immune [UNK] immune [UNK] immune [UNK] immune [UNK] molecules [end],[start] millions of people worldwide [end],20432533
15,a single factor to cause,[start] the need for a healthy family [end],"[start] an increase in the incidence of diabetes all over the world , which suggests that a multifactorial process might be involved [end]",23733895
16,Our aim was,[start] to determine the effect of [UNK] on the [UNK] of [UNK] [end],[start] to estimate this effect [end],21465326
17,significant advances have been made,[start] in the past [end],[start] in the clinical care of T1 D [end],20723815
18,autoantibody positive subjects are,[start] a major public health problem [end],[start] at maximum risk for disease [end],16611168
19,The aim of this study was,[start] to investigate the association between the respiratory muscle [end],[start] to investigate the cognitive functioning of patients with type 1 diabetes ( including a subgroup ) and nondiabetic controls [end],17546438
20,working memory were related,[start] to be [UNK] [end],[start] to adherence [end],20215458
21,Limiting loss of endogenous insulin secretion using immunomodulation could be,[start] important roles in the progression [end],[start] valuable for type 1 diabetes [end],16478821
22,The aim of the study was,[start] to investigate the association between the respiratory muscle [end],[start] to evaluate the neurofunctional effect of gender in Type - 1 Diabetes Mellitus ( T1DM ) patients during a Visual Spatial Working Memory ( VSWM ) task [end],30027655
23,This Seminar gives,[start] a [UNK] [UNK] [end],[start] an overview of potential future directions for research [end],29916386
24,Self - Management Profile to assess,[start] the same [UNK] [end],[start] treatment adherence [end],20215458
25,The model of care in childhood diabetes mellitus must be focussed,[start] the same disease [end],[start] on earlier intervention if adverse outcomes are to be reduced [end],15813600
26,the disease onset having,[start] a long time [end],[start] a role at the level of perpetuation of the autoimmunity process [end],24582332
27,different insulin requirements were detected,[start] with [UNK] [end],[start] In vivo experiments present meaningful profiles for other situations [end],27686710
28,"larger studies , with extended follow - up are",[start] to the risk of lung cancer [end],[start] clearly of interest to investigate this treatment concept [end],26003192
29,executive functioning skills ( e.g. were related,[start] to the risk of lung cancer [end],[start] to adherence [end],20215458
30,The main outcome measure was,[start] important [end],[start] relative risk of death according to comorbidities [end],21465326
31,Both factors must become,[start] important [end],[start] part of targeted diabetes care [end],30912245
32,intensive management with multiple daily injections or insulin pump therapy and the support of a specialist multidisciplinary team is,[start] the treatment of type 2 diabetes [end],[start] now standard care in 2014 [end],25529223
33,This study aimed to find,[start] the same [UNK] [end],[start] the predictors of blood glucose control [end],23749254
34,These results indicate,[start] a new method of early treatment strategies [end],[start] the leading role of chronic enteric toxic infectious process in the development of complications of type 1 diabetes [end],12428285
35,Longer treatment duration was associated,[start] with [UNK] [end],[start] with greater improvements in psychological symptoms [end],25330352
36,2 case control studies met,[start] the risk of gastric cancer [end],[start] the inclusion criteria Twelve cohort [end],28489876
37,Several risk factors have been associated,[start] with the disease [end],[start] with type 1 DM [end],14652163
38,ROC analysis showed,[start] the [UNK] of [UNK] in the [UNK] of the [UNK] immune system [end],"[start] that the optimum cut - off value for GA was 33.5 % with sensitivity and specificity of 97.4 % and 96.8 % , respectively [end]",26477482
39,Findings suggest,[start] that the patients with chronic respiratory diseases experiencing depression [UNK] for [UNK] [end],[start] that sex differences should be considered when studying T1DM - disease development [end],30027655
40,Moderate physical activity protected,[start] in the past tense of gastric cancer [end],[start] against high LDL - C levels [end],26840670
41,Poisson regression was used,[start] to provide the child with the problem of oxidation [end],[start] to model mortality rates by calendar time [end],23949580
42,the body 's natural defense system mistakenly attacks,[start] the [UNK] [end],[start] the healthy cells [end],32421967
43,Diabetes care provision should pay,[start] the patients with a high risk of lung cancer [end],[start] particular attention to patients with co-existing neurodevelopmental disorders such as ADHD [end],28708247
44,Areas covered,[start] to treat dogs with [UNK] [end],[start] This review will cover the epidemiologic characteristics of the influence of race [end],31081398
45,The distribution of these genes in the Mediterranean region is not,[start] the same disease [end],[start] completely known still [end],10362460
46,85 % of the women declared having received,[start] the other [UNK] [end],[start] information about preconception care [end],16357787
47,that prediction of type are,[start] as the [UNK] [UNK] [UNK] [end],[start] under way Now [end],10496000
48,EE moderated,[start] the [UNK] [end],[start] the impact of NDRE on CA among youth 11 - 13 yr [end],26771087
49,67 % were,[start] in [UNK] [end],[start] positive [end],22558802
50,investigators are using,[start] the [UNK] [end],[start] new technologies to characterize immune responses toward these proteins [end],31010879
51,Studies have shown,[start] that the risk may be decreased with a high intake of vegetables [end],[start] that adolescents ( young women ) have an increased risk for sub-clinical eating disorders [end],12880184
52,BMT can be used,[start] [UNK] [end],[start] to treat T1DM [end],18789598
53,Parents completed,[start] a family history of the disease [end],"[start] questionnaires , including Behavioral Rating Inventory of Executive Function [end]",28318073
54,A better understanding of the role of gut may provide,[start] the management of type 2 diabetes [end],[start] us with powerful prognostic tools in the near future [end],29929213
55,This article synthesizes,[start] the current state of the clinical trials of [UNK] drug management [end],[start] the existent findings [end],19323958
56,T1D to be triggered,[start] the most [UNK] [UNK] [end],"[start] by environmental factors , including virus infections in genetically predisposed individuals [end]",17667707
57,another proteolytic pathway may have,[start] the [UNK] [UNK] [end],[start] a significant role in the autoimmunity process [end],24582332
58,Combinations can be used,[start] having a good time [end],[start] for selection of first - degree relatives of patients with T1 DM for primary intervention trials [end],15794911
59,peripubertal changes in body shape predispose,[start] to the disease [end],[start] young women to develop unhealthy eating attitudes [end],10436248
60,Results suggest,[start] that the patients with chronic respiratory diseases experiencing depression [UNK] for [UNK] [end],[start] that overall burden is higher for those diagnosed with T1DM than respondents without diabetes [end],27812145
61,This review seeks,[start] structural [UNK] in [UNK] of [UNK] [UNK] patients with type 1 diabetes [end],[start] to characterize emerging concepts [end],29039056
62,the owner decided to euthanize,[start] the the [UNK] [end],[start] the animal [end],20446034
63,NDRE impact,[start] higher levels of ee [end],[start] higher levels of BF [end],26771087
64,novel therapeutic approaches by targeting,[start] [UNK] [end],[start] deregulated autophagy offering novel opportunities to personalized medicine [end],24582332
65,adolescents had been diagnosed,[start] in the [UNK] [end],[start] with type 1 diabetes to assess their reactions to their child 's diagnosis [end],26165784
66,This chapter of the Yearbook of Treatments in Diabetes reviews,[start] the risk of gastric cancer [end],[start] the key articles that have appeared in this field between January 2008 and June 2009 [end],20377666
67,environmental exposures are,[start] the most important role of [UNK] [end],[start] potential triggers of autoimmunity [end],19476469
68,its co-evolution could have been altered,[start] by the treatment of type 2 diabetes [end],[start] by changes to antibiotic usage [end],22753003
69,Stem cell therapy offers,[start] a major risk of developing the [UNK] of lung cancer [end],[start] a solution to the cited challenges of islet transplantation [end],23572052
70,This qualitative study enables,[start] the [UNK] [end],[start] us to understand what patients feel [end],32168173
71,Novel concepts regarding the rate have been put,[start] the [UNK] [end],[start] forward [end],19502978
72,the patients ' contribution to overall mortality statistics is,[start] in the us [end],[start] disproportionately large because of the high rate of microvascular complications [end],12762954
73,Its epidemiological background make,[start] the [UNK] [end],[start] Sardinia an ideal region for investigating environmental [end],20920447
