,Subj_Pred,Obj,Obj_true,PMID
0,More aggressive screening measures using,[start] the same time [end],[start] a lower prostate - specific antigen [end],16885911
1,Markers are needed,[start] in the clinic [end],[start] for screening distinguishing latent from predicting outcome [end],21319990
2,bacterial strains to express,[start] the risk of gastric cancer [end],[start] cancer - specific antigens [end],30324354
3,dietary strategies targeting,[start] the risk of gastric cancer [end],[start] metabolic syndrome [end],30893147
4,all patients having localized,[start] to tailor the timing [end],[start] disease [end],23773409
5,targeting prostate CSCs for the prevention of treatment of prostate cancer could become,[start] a significant role in the development of gastric cancer [end],[start] a novel strategy for better treatment of patients [end],22369972
6,the companion book titled,[start] the first time [end],[start] Clinical Diagnostic Imaging of Prostate Cancer [end],30229546
7,a novel decisional aid is included,[start] the most important advances in the field of gastric cancer [end],[start] treatment - related factors [end],29549504
8,lncRNAs may serve,[start] a major role in the development of gastric cancer [end],[start] as therapeutic targets helping to prevent development of castration resistance [end],28241429
9,organ confined,[start] the first time [end],[start] disease [end],29633943
10,Markers are needed,[start] in the clinic [end],[start] for diagnosis distinguishing latent from differentiating localized from metastatic disease [end],21319990
11,Some of the new targets are,[start] a significant effect on the incidence of t1 d supplementation [end],[start] PARP inhibitors [end],29860848
12,The prevalence is increasing,[start] in the field of gastric cancer [end],[start] in both developed and developing nations [end],26560323
13,This overview reviews,[start] the bands [end],[start] the current state of PRS for prostate cancer including testing considerations [end],31629419
14,prognostic determinant biomarkers to minimize,[start] the risk of gastric cancer [end],[start] overtreatment of localized disease [end],30181359
15,tumor - associated immune cells play,[start] the risk of gastric cancer [end],[start] major roles in the initiation [end],31134920
16,Many PSMA ligands have been developed,[start] in the field of gastric cancer [end],[start] since the previous decade [end],32147685
17,"The interplay between genetics , diet , and prostate cancer is",[start] a high burden of responsibility on caregivers to monitor diet [end],[start] an area of emerging focus that might help optimize therapeutic dietary response in the future through personalization [end],30893147
18,phase 3 trials did n't show,[start] in the clinic [end],[start] any improvement in overall survival ( OS ) especially with immune checkpoint inhibitors [end],29860848
19,Nurses for ensuring,[start] the same time [end],[start] men have the support [end],24754104
20,Recent data have solidified,[start] the use of gastric cancer [end],[start] the association between insulin resistance and prostate cancer with the homeostatic model assessment of insulin resistance [end],30893147
21,Physicians treating,[start] the role of gastric cancer [end],[start] patients with prostate cancer [end],24274615
22,The present results suggest,[start] that the favorable effects of other heart rate lowering agents [end],[start] that the lymphovascular invasion were independent predictive factors for progression to castration - resistant prostate cancer [end],32500468
23,the concentration of androgen required,[start] that the favorable effects of other heart rate lowering agents [end],[start] for maximal stimulation of the receptor [end],24384911
24,71 investigators focused,[start] in the field of gastric cancer [end],[start] on a variety of other fields including ovarian cancer [end],28925066
25,This review discusses,[start] the use of gastric cancer [end],[start] the oncologic rationale for focal therapy in localized prostate cancer [end],32558805
26,PET scans have shown to perform well,[start] in the clinic [end],[start] in the restaging of this category of patients [end],30684842
27,an area of emerging focus might help,[start] to the development of the treatment of gastric cancer [end],[start] optimize therapeutic dietary response in the future through personalization [end],30893147
28,the most pertinent problems stemming,[start] the last quanto1 years [end],[start] from the extreme heterogeneity of prostate cancer [end],29393241
29,Purpose of review summarizes,[start] the bands [end],[start] the rapid progress being made in treatment of advanced prostate cancer [end],30925537
30,advanced disease does not respond,[start] to the development of the treatment of gastric cancer [end],[start] to androgen deprivation therapy [end],18786842
31,cure is,[start] the leading cause of death in women worldwide [end],[start] no longer achievable therapeutic approaches for increase of survival are needed a situation [end],26728408
32,the proportion of prostate cancer is,[start] a major role in the development of gastric cancer [end],[start] small To date [end],27986209
33,Results included,[start] that the favorable effects of other heart rate lowering agents [end],[start] new treatment strategies for the role of extracellular vesicles in their potential as biomarkers [end],31825540
34,Androgen deprivation therapy is,[start] the most important advances in the field of gastric cancer [end],[start] the mainstay treatment for patients with prostate cancer [end],24274615
35,chemotherapy to treat,[start] the role of the development of gastric cancer [end],[start] dogs with prostate cancer [end],18786842
36,clinical trials were conducted,[start] in the clinic [end],"[start] over the course of the last decade , first among patients with castration resistant prostate cancer , then among those with hormone - sensitive disease [end]",32462838
37,"""""""""""""""""""""""""""""""This """""""""""""""""""""""""""""""" middle ground """""""""""""""""""""""""""""""" of therapy , between active surveillance and whole - gland treatment"""""""""""""""""""""""""""""" is appealing",[start] a major public health problem [end],[start] to patients because the risk for side effects is believed to be lower with focal therapy than with whole - gland treatment [end],32558805
