,Subj_Pred,Obj,Obj_true,PMID
0,biochemical studies have found,[start] on the chain of potential [end],[start] that CFs exposure may lead to lung cancer by gene damage [end],28956747
1,The most important lung cancer research falls,[start] a major goal of improving understanding for the association with diabetes [end],[start] under the hub of personalized medicine [end],31661148
2,MicroRNAs play,[start] a clearer understanding of the association between the strengths of eosinophils now [end],[start] an important role in the regulation of various genes [end],30088452
3,Therapies with antibodies liberate,[start] the most promising positive family history of gastric cancer [end],[start] an antitumor immune response [end],29251665
4,screening has,[start] a significant association between hpylori and crds [end],[start] interested researchers [end],17225705
5,lung cancer resulting,[start] in the clinic [end],[start] from the fact that most cases are diagnosed in the advanced stage of the disease [end],29425790
6,these products are,[start] a significant association between hpylori and crds [end],[start] clearly of more benefit to female non-smokers [end],17117325
7,Other factors reported are,[start] a major goal of improving understanding for the treatment of the treatment of colorectal cancer [end],[start] infections factors [end],23921082
8,Chinese Society of Lung Cancer jointly publish,[start] the association between polypharmacy and all cause of cancer related deaths in the united states [end],[start] this consensus [end],33113622
9,a legacy of decades of tobacco use in a significant proportion of the US population means,[start] a major goal of improving understanding for the association with chronic respiratory diseases [end],[start] we are still challenged to develop public health strategies for the foreseeable future [end],10855253
10,The development of lung cancer is,[start] a major goal of improving understanding for the natural history of the most recent years [end],[start] unique in each patient according to clinical response [end],23980680
11,the diagnosis of lung cancer in China is intended,[start] to be improved including meeting records presently [end],"[start] to facilitate cooperation , so as to upgrade the effective control of lung cancer [end]",8069599
12,"17,000 - 26,000 annual deaths from lung cancer in never smokers would be",[start] a major goal of improving understanding for the association with chronic respiratory diseases [end],[start] the seventh leading cause of cancer mortality [end],26667338
13,the diagnosis of lung cancer in China to facilitate,[start] the greatest promise for the prevention of gastric cancer [end],[start] research [end],8069599
14,Video - assisted limited resection may be,[start] to be improved including meeting records presently [end],[start] feasible in such cases [end],8965366
15,The lung cancer cells have,[start] a major goal of improving understanding for the treatment of the treatment of colorectal cancer [end],[start] very fast growth rates [end],24639115
16,Early central airways lung cancer is detected,[start] for a distressingly large proportion of chronic respiratory diseases in the disease [end],[start] by sputum cytology usually [end],22810461
17,Lung cancer is,[start] a major goal of improving understanding for the most prevalent [end],[start] a complex disease composed of diverse molecular types with clinical relevance [end],27535388
18,The aim of this paper was,[start] to assess the relationship between diet and apoptosis [end],[start] to discuss MPLC in general [end],29790681
19,Presented in this paper are,[start] a significant association between hpylori and crds [end],[start] the pathogenesis of lung cancer in China [end],8069599
20,Clinicians working with patients should intervene,[start] the most promising biomarker panels allowing breast cancer metastasis [end],"[start] to enhance their quality of life from diagnosis , during the disease trajectory [end]",22308553
21,tumor mutation burden may be,[start] a major goal of improving understanding for the treatment of the treatment of colorectal cancer [end],[start] an independent predicted biomarker with limitations [end],31196372
22,Tobacco cessation is,[start] a major goal of improving understanding for the treatment of the treatment of colorectal cancer [end],[start] more successful in countries with stronger tobacco survival benefits in smokers including lung cancer patients [end],27732987
23,nurses are familiar with,[start] a significant association between hpylori and crds [end],[start] the rationale [end],12692661
24,cure rates for such lesions are,[start] a significant difference in the same time [end],[start] very good [end],12517539
25,A better understanding of the differences between men and women and their impact on the treatment of lung cancer requires,[start] a major goal of improving understanding for the treatment of the treatment of colorectal cancer [end],[start] continued basic [end],17084482
26,women have,[start] a major goal of improving understanding for the treatment of the treatment of colorectal cancer [end],[start] a better lung cancer prognosis [end],17117325
27,This review provides,[start] a clearer understanding of the association studies [end],[start] a broad outline of this disease helping clinicians identify such patients [end],30955514
28,Results reduced,[start] with a high intake of fruit [end],[start] lung cancer deaths by more than 20 % when compared with those [end],24357736
29,Clinicians working,[start] to a significant association between hpylori and crds [end],[start] with patients [end],22308553
30,the disparities in methodology are,[start] by european groups [end],[start] significant barriers to producing comparable results although recent efforts have been made to address these [end],22308553
31,the molecular pathways be involved,[start] in the clinic [end],[start] in pathogenesis of lung cancer [end],15822487
32,Lung cancer is,[start] a major goal of improving understanding for the most prevalent [end],[start] the most common cancer [end],31874543
33,the diagnosis of lung cancer in China to facilitate,[start] the greatest promise for the prevention of gastric cancer [end],[start] cooperation [end],8069599
34,Risks for marijuana are,[start] us 150179 for budesonide representing respectively 40 15 209 of per capita income in malawi [end],[start] yet will be important areas for continued research as use of these products increases [end],26667337
35,Epidemiology has shown,[start] that the aberrant expression of lung cancer stem cells exert some other industrial workers in the field of the deranged,"[start] that asbestos cumulative exposures increase the risk of lung cancer to a variable extent , depending on the manufacturing process and the specific job [end]",21438304
36,the patient population in lung cancer is changing,[start] by the presence of the same time [end],[start] from mostly male smokers [end],17084482
37,Lung cancer is,[start] a major goal of improving understanding for the most prevalent [end],"[start] the leading cause of cancer - related death in the United States , with an average five - year survival rate of 15 percent [end]",17225705
38,different kinds of them to delineate,[start] respiratory clinicians involved in care setting [end],[start] their significance in lung cancer biology [end],28118799
39,novel molecular targets can be applied,[start] to a systematic review of the skills necessary to manage diabetes over a lifetime [end],[start] to the treatment of particular lung cancer patients [end],27535388
40,Lung cancer is,[start] a major goal of improving understanding for the most prevalent [end],[start] the leading cause of cancer - related mortality [end],15822487
41,the standard for treatment selection is,[start] a major goal of improving understanding for practice [end],[start] to make the important classification of small cell lung cancer In the treatment of lung cancer [end],19223731
42,inter-tumour heterogeneity are addressed,[start] a significant association between hpylori and crds [end],[start] as temporal heterogeneity [end],29635240
43,This article will look,[start] to assess the relationship between t1 dm and mortality [end],[start] at the latest national recommendations for treating non-small cell lung cancer [end],24067269
44,the use of cigarettes was,[start] us 150179 for budesonide representing respectively 40 15 209 of per capita income in malawi [end],"[start] the leading cause of avoidable mortality in the United States , with about 434,000 preventable deaths per year [end]",10855253
45,the need for novel ( complementary ) lung cancer diagnostic methods exists,[start] to be improved including meeting records presently [end],[start] still [end],23868001
46,a 5 - year overall survival of about 80 % can be expected,[start] with a high intake of fruit [end],[start] After photodynamic therapy [end],22810461
47,such testing may reduce,[start] the most studied tree nut [end],[start] lung cancer deaths in high - risk individuals when performed with low - dose CT rather than chest radiography [end],24357736
48,activating mutations of EGFR or anaplastic lymphoma kinase are,[start] a significant association between hpylori and crds [end],[start] more frequent [end],21992731
49,"Methods for early detection of lung cancer , such as computerized tomography scanning technology discover a large number of small lung nodules posing",[start] a major goal of improving understanding for the treatment of the disease [end],[start] a new problem to radiologists [end],21405971
50,Such studies have shown,[start] that the aberrant expression of lung cancer stem cells exert some other industrial workers in the field of the deranged,[start] that spouses of patients with significant distress and lower levels of quality of life than the general population [end],22308553
51,molecular footprints representing,[start] the association between polypharmacy and all cause of cancer related deaths [end],[start] the individual processes of multistage lung carcinogenesis [end],15016317
52,Lung cancer heterogeneity has,[start] a major goal of improving understanding for the treatment of the treatment of colorectal cancer [end],[start] implications in pathogenesis understanding [end],29635240
