,Subj_Pred,Obj,Obj_true,PMID
0,This supplement is intended,[start] to provide a timely snapshot of the socio economic aspects of this environment as it applies to practice both in,[start] to provide a timely snapshot of the political aspects of this environment as it applies to practice internationally [end],23257320
1,the decline was,[start] [UNK] [UNK] [UNK] [end],[start] 26 [end],9085391
2,contemporary cardioprotective therapies must include,[start] [UNK] [UNK] [UNK] [end],[start] adjunctive exercise and lifestyle interventions [end],28885265
3,clonal haematopoiesis in the absence of overt haematologic alterations is,[start] the risk of microvascular disease [end],[start] common amongst the ageing population [end],32715520
4,venlafaxine to increase,[start] [UNK] [end],[start] blood pressure [end],18785947
5,"Development of robust policies and commitment to collaboration among professional organizations , community partners , and policy makers to improve",[start] their patients to be happy [end],[start] cardiovascular health [end],31992050
6,these factors may provide,[start] more effective in treatment options in lung cancer [end],[start] an opportunity to reduce deaths [end],7736485
7,More systematic efforts for early detection are required,[start] across all latin american countries to improve health conditions for adult population [end],[start] across all Latin American countries to improve health conditions particularly for women [end],20554175
8,The decline in protein homeostasis has been associated,[start] with the development of crc [end],[start] with the development of cardiac hypertrophy [end],28757291
9,This review is intended,[start] to provide a brief review of the literature with regard to cardiovascular disease [end],"[start] to explore views of the rarely mentioned mechanism , and the cardiovascular effects of low levels of lead exposure [end]",30404996
10,our understanding of the impact of clonal haematopoiesis is,[start] in the pathogenesis of t2 dm [end],[start] in its infancy [end],32715520
11,cardiovascular risk factors may underlie,[start] in the [UNK] of [UNK] [end],[start] the association with increased morbidity [end],26972035
12,common syndromes prolonged,[start] the risk of microvascular complications [end],[start] QT interval [end],18319102
13,these mutations have been associated,[start] with the development of t1d [end],[start] with higher rates of cardiovascular disease suggesting a previously unrecognized link between somatic mutations in hematopoietic cells and chronic disease [end],30185689
14,cardiovascular disease is,[start] a leading cause of death in women [end],[start] also a leading cause of mortality [end],20113258
15,us to explore,[start] the risk of microvascular complications such as retinopathy in patients with type 2 diabetes mellitus [end],[start] the gene - environment interactions [end],31378756
16,"The selective targeting of modifiable risk factors in childhood , including body mass index holds",[start] a major cause of cancer [end],[start] promise in reducing the burden of adult cardiovascular disease [end],29345597
17,Latin American countries have experienced,[start] as complementary models of cardiovascular diseases in the secondary preventions of cardiovascular disease [end],[start] rapid socioeconomic changes [end],20554175
18,cardiovascular disease patients focusing,[start] on the [UNK] of [UNK] [end],[start] on endurance exercise [end],19124415
19,"Epigenetic biomarkers , which include DNA methylation are",[start] [UNK] of [UNK] [UNK] [end],[start] modifiable [end],24768945
