,Subj_Pred,Obj,Obj_true,PMID
0,ROBO2 were detected,[start] in [UNK] [end],[start] with methylation.specific PCR in 36 [end],27461616
1,mRNAs play,[start] a major role in the development of t1d [end],[start] critical roles in the tumorigenesis of GC [end],27547004
2,Gastric cancer remains,[start] the leading cause of cancer [end],[start] a challenge for clinicians [end],16825900
3,the mortality from distal gastric cancer has declined,[start] as a high burden on caregivers often [end],[start] concomitant with the eradication of infection [end],12590229
4,regimens have resulted,[start] in [UNK] [end],[start] in the contemporary treatment of GC [end],26873521
5,its natural history is,[start] the same thing [end],[start] relatively long [end],17249273
6,active agents improve,[start] the risk of cardiovascular disease [end],[start] the survival of gastric cancer patients [end],26494953
7,The exploration targeted,[start] the [UNK] of [UNK] [UNK] of [UNK] [UNK] [end],[start] therapy of neoadjuvant treatment in LAGC [end],33256300
8,Recent encouraging results with the preoperative approach need,[start] to provide the child with the skills necessary to manage diabetes over a lifetime [end],[start] to be studied prospectively compared to postoperative chemoradiation [end],16166979
9,secondary prevention of gastric cancer is,[start] the leading cause of cancer related deaths [end],[start] possible [end],12590229
10,The provision of conversion therapy for stage IV GC patients might be,[start] more effective in treatment strategies [end],[start] one of the main roles of surgical oncologists in the near future [end],26643880
11,the main treatment for advanced gastric cancer is,[start] the most frequent cause of death [end],[start] the combination of immunotherapy [end],28671042
12,H. pylori induces,[start] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [end],[start] cellular alterations in genes [end],21088411
13,the publication of a large phase III neoadjuvant chemotherapy clinical trial suggested,[start] [UNK] [UNK] [end],[start] that this technique may downstage tumors [end],15297947
14,Management of gastric cancer from screening to definitive treatment varies,[start] substantially between eastern and western countries owing to numerous factors including government incentives to carry out population wide screening programmes,"[start] substantially between Eastern and Western countries owing to numerous factors , including government incentives to carry out population - wide screening programmes to detect early disease , differences in biological , patient accessibility to effective treatment [end]",31178345
15,the chemotherapies used,[start] [UNK] [end],[start] for palliation [end],19712167
16,several aspects of surgical intervention remain,[start] due to the [UNK] of the disease [end],[start] controversial [end],31455923
17,Methods were taken,[start] for [UNK] [end],[start] into account in this review [end],17229238
18,Incidence of EGC shows,[start] the leading cause of death in women [end],[start] considerable geographic variation [end],17249273
19,a steady decline in the incidence rates of gastric carcinoma has been observed,[start] in the study [end],[start] in the last century worldwide [end],25320505
20,the second leading cause of cancer related mortality in China seriously endanger,[start] the disease [end],[start] the lives of Chinese people [end],33256300
