,Subj_Pred,Obj,Obj_true,PMID
0,biochemical studies have found,[start] that the effect of [UNK] were modified by factors such as age gender cardiovascular risk factor status drinking type of,[start] that CFs exposure may lead to lung cancer by gene damage [end],28956747
1,The most important lung cancer research falls,[start] in the study [end],[start] under the hub of personalized medicine [end],31661148
2,MicroRNAs play,[start] a very popular basketball player [end],[start] an important role in the regulation of various genes [end],30088452
3,Therapies with antibodies liberate,[start] the most frequent cause of death [end],[start] an antitumor immune response [end],29251665
4,screening has,[start] more than [UNK] [end],[start] interested researchers [end],17225705
5,lung cancer resulting,[start] for [UNK] [end],[start] from the fact that most cases are diagnosed in the advanced stage of the disease [end],29425790
6,these products are,[start] more than a [UNK] [end],[start] clearly of more benefit to female non-smokers [end],17117325
7,Other factors reported are,[start] more susceptible to disease [end],[start] infections factors [end],23921082
8,Chinese Society of Lung Cancer jointly publish,[start] this consensus [end],[start] this consensus [end],33113622
9,a legacy of decades of tobacco use in a significant proportion of the US population means,[start] the risk of microvascular complications such as retinopathy in patients with type 2 diabetes mellitus [end],[start] we are still challenged to develop public health strategies for the foreseeable future [end],10855253
10,The development of lung cancer is,[start] more likely to be [UNK] in the [UNK] of [UNK] cancer [end],[start] unique in each patient according to clinical response [end],23980680
11,the diagnosis of lung cancer in China is intended,[start] to provide a timely breast cancer the the world [end],"[start] to facilitate cooperation , so as to upgrade the effective control of lung cancer [end]",8069599
12,"17,000 - 26,000 annual deaths from lung cancer in never smokers would be",[start] a major public health problem [end],[start] the seventh leading cause of cancer mortality [end],26667338
13,the diagnosis of lung cancer in China to facilitate,[start] research [end],[start] research [end],8069599
14,Video - assisted limited resection may be,[start] the same as a [UNK] of [UNK] [end],[start] feasible in such cases [end],8965366
15,The lung cancer cells have,[start] the leading cause of death in women [end],[start] very fast growth rates [end],24639115
16,Early central airways lung cancer is detected,[start] in the study of colorectal cancer [end],[start] by sputum cytology usually [end],22810461
17,Lung cancer is,[start] a leading cause of death in women [end],[start] a complex disease composed of diverse molecular types with clinical relevance [end],27535388
18,The aim of this paper was,[start] to review recent guideline recommendations on therapeutic strategies while providing practical recommendations for the management of diabetes [end],[start] to discuss MPLC in general [end],29790681
19,Presented in this paper are,[start] a [UNK] of [UNK] [end],[start] the pathogenesis of lung cancer in China [end],8069599
20,Clinicians working with patients should intervene,[start] to be improved including guideline presently [end],"[start] to enhance their quality of life from diagnosis , during the disease trajectory [end]",22308553
21,tumor mutation burden may be,[start] important implications in cardiovascular disease risk factors [end],[start] an independent predicted biomarker with limitations [end],31196372
22,Tobacco cessation is,[start] more successful in countries with stronger tobacco control [end],[start] more successful in countries with stronger tobacco survival benefits in smokers including lung cancer patients [end],27732987
23,nurses are familiar with,[start] [UNK] [UNK] [UNK] [UNK] [UNK] in the treatment of [UNK] [end],[start] the rationale [end],12692661
24,cure rates for such lesions are,[start] more prevalent among chronic respiratory diseases [end],[start] very good [end],12517539
25,A better understanding of the differences between men and women and their impact on the treatment of lung cancer requires,[start] patients [end],[start] continued basic [end],17084482
26,women have,[start] a high burden of diseases including [UNK] [end],[start] a better lung cancer prognosis [end],17117325
27,This review provides,[start] a role in [UNK] [UNK] [UNK] [UNK] [end],[start] a broad outline of this disease helping clinicians identify such patients [end],30955514
28,Results reduced,[start] [UNK] [end],[start] lung cancer deaths by more than 20 % when compared with those [end],24357736
29,Clinicians working,[start] you have a high rate [end],[start] with patients [end],22308553
30,the disparities in methodology are,[start] available in many countries with a high incidence of [UNK] [end],[start] significant barriers to producing comparable results although recent efforts have been made to address these [end],22308553
31,the molecular pathways be involved,[start] in the study [end],[start] in pathogenesis of lung cancer [end],15822487
