,Subj_Pred,Obj,Obj_true,PMID
0,Vitamin C may play,[start] important [end],[start] a role [end],29716592
1,TCE can significantly improve,[start] the same disease [end],[start] the quality of life of patients with chronic diseases [end],26525282
2,The low level of illness acceptance was noted,[start] in the most important health [end],[start] in 174 ( 62.6 % ) and high in 46 ( 16.6 % ) patients [end],25310950
3,The level of the antibacterial protein was,[start] [UNK] [end],[start] higher than lysozyme [end],15530478
4,The purpose of this study was,[start] to provide the child with the skills necessary to manage diabetes over a lifetime [end],[start] to compare CT - derived airway wall measurements between male smokers with and those without chronic respiratory symptoms [end],25247967
5,treatment the,[start] a significant effect [end],[start] $ 82.99 [end],27155173
6,their selection will follow,[start] the risk of gastric cancer [end],[start] the Preferred Reporting Items for Meta - Analyses ( PRISMA ) guidelines [end],28093435
7,Purpose : Early noninvasive ventilation ( NIV ) after extubation decreases the risk lowers,[start] a significant effect [end],[start] 90 - day mortality in patients with hypercapnia [end],28393258
8,The responsiveness of the CCQ in chronic respiratory disease patients other than COPD has not been described,[start] [UNK] [end],[start] previously [end],25123253
9,Adjusted odds ratios were,[start] for [UNK] [end],[start] significant for wheeze [end],8664961
10,The International Classification of Diseases Ninth Revision was utilized,[start] to identify acute acute acute respiratory diseases [end],[start] to identify acute ( acute upper respiratory diseases [end],17701667
11,patients with high levels of BALF IL - 8 could have,[start] a significant effect [end],[start] high levels of IL - 10 [end],15530478
12,dyspnoea significantly improved,[start] the same mutation in the prion gene in quanto1 families [end],[start] whereas the EG showed a greater improvement in transitional dyspnoea index than the CG [end],25087837
13,rats received,[start] the women [end],"[start] either a 5 - HT7 receptor antagonist ( SB269970 , 4 mg / kg , intraperitoneal ) or a vehicle ( dimethyl sulfoxide On a daily basis [end]",32102596
14,Adjusting for gaseous pollutants models assumptions had,[start] a [UNK] effect on the body [end],[start] little influence on PMc effect estimates [end],22266709
15,Purpose : Chronic respiratory disease ( CRD ) including COPD carries,[start] a major cause of mortality [end],[start] high mortality in Africa [end],30122917
16,"A systematic review of published data that investigate the relationship between asthma and lung cancer , accounting for co-occurring allergic diseases will be conducted",[start] to assess the current treatments available for the molecular aspects [end],[start] to investigate the independent association of asthma with lung cancer [end],28093435
17,Normal spirometry is used,[start] keeping a body alive [end],[start] to preclude airway disease in individuals with unspecific respiratory symptoms often [end],31248954
18,spirometry is,[start] a common disease [end],[start] integral for the diagnosis [end],32252783
19,Home supervision of the patient is performed,[start] the same time [end],[start] by a nurse [end],7995407
20,analysis include,[start] [UNK] [UNK] [UNK] [UNK] [end],[start] original reports of case - control studies of the association of asthma with lung cancer [end],28093435
21,exposure assessed,[start] on [UNK] of [UNK] [end],[start] at baseline adjusting for education [end],20522851
22,"Adults who reported any respiratory symptoms ( frequent cough , frequent phlegm , or past year wheeze ) were",[start] the most important [UNK] [end],[start] more likely to report fair / poor health [end],24040892
23,likelihood ratios were,[start] a number of immune abnormalities in the disease [end],[start] 36 weeks pca 35 % [end],10378399
24,Results was associated,[start] with the disease [end],"[start] with various other comorbidities , including tobacco use [end]",29156003
25,The frequency of low PEFR was,[start] to be [UNK] [end],[start] substantially higher in men with CLRD when compared with normal subjects [end],8020264
26,chronic respiratory diseases affected,[start] by the disease [end],[start] by difficult to treat infections [end],28509852
