,Subj_Pred,Obj,Obj_true,PMID
0,treatment of T2 DM pose,[start] an important role in the development of lung cancer [end],[start] a challenge for pediatric endocrinologists [end],15252375
1,Measures Perceived stress were assessed,[start] with higher risk of gastric cancer [end],[start] with Perceived Stress Scale [end],30024853
2,15 studies used,[start] make person unhappy [end],"[start] varied study designs and outcomes to test behavioral economic interventions in clinical , workplace , or health plan settings [end]",28755061
3,many efforts have been carried out,[start] by the public health care [UNK] [end],[start] to elucidate the possible mechanisms [end],29395440
4,Available studies support,[start] the [UNK] of [UNK] [UNK] in the [UNK] [end],[start] the usefulness of resistance training in the treatment of type 2 diabetes mellitus [end],10418073
5,disturbances in gene regulation decreased,[start] [UNK] of [UNK] in the [UNK] of [UNK] [UNK] [UNK] [UNK] [end],[start] utilization of glucose by tissues in hepatic handling of glucose with the onus on Gluconeogenesis [end],31336461
6,chronic inflammation associated,[start] with [UNK] [end],[start] with diabetes mellitus [end],25866823
7,glycemic targets should reflect,[start] the risk of gastric cancer [end],[start] presence of comorbid conditions [end],22424044
8,Relevant demographic factors influencing disease development are reviewed,[start] important in the development of lung cancer [end],[start] after that while emphasizing how a patient 's treatment requires changes over time [end],19425874
9,The aim of this review is,[start] to provide the current knowledge of the possible treatment of lung cancer [end],[start] to consider further implications for public health [end],22369258
10,advanced glycation end - products result,[start] for [UNK] [UNK] [UNK] [end],[start] in vasoconstriction [end],30409037
11,The identification of well - defined diabetic pedigrees will be,[start] important for survival [end],[start] key to the discovery of the genes for diabetes [end],7813802
12,the challenges faced are,[start] the same disease [end],[start] to be considered while designing future management strategies [end],28914196
13,The agents reduce,[start] lung cancer [end],[start] inflammatory cytokines while normalizing membrane structure [end],24523032
14,Type 2 diabetes mellitus causes,[start] death [end],[start] abnormal carbohydrate metabolism impaired insulin secretion [end],10348076
15,Ethnic minorities to have,[start] the risk of lung cancer [end],[start] worse control of their diabetes [end],24170484
16,many developing countries are equipped,[start] to be [UNK] [end],[start] ill [end],16573308
17,Background aims,[start] to the current multidisciplinary approach to gastric adenocarcinoma [end],[start] It is widely accepted that type [end],23868079
18,This article discusses,[start] the current state of the clinical trials of [UNK] drug for patients [end],[start] the current recommendations for diabetes self - management skills including medical nutrition therapy [end],29080584
19,Type 2 diabetes mellitus is,[start] a disease [end],[start] an established risk factor for nephropathic events [end],31490989
20,their meta - analyses have identified,[start] a significant effect [end],[start] multiple potential non-genetic biomarkers for the risk of T2D [end],31500825
21,The severities of insulin resistance parallel,[start] the risk of gastric cancer [end],[start] each other [end],12643175
22,weight loss is recommended,[start] for the future of patients with [UNK] [end],[start] as the cornerstone management measure [end],24070804
23,Bayesian meta - analysis showed,[start] the risk of gastric cancer in men after endoscopic resection [end],[start] the relative risks of type 2 diabetes mellitus risk for individuals with hypertensive disorders during preeclampsia [end],27518283
24,The study of type 2 diabetes has been driven,[start] by advances in [UNK] enabling new insights into disease susceptibility [end],[start] by advances in human genetics enabling new insights into development of complications [end],29699867
25,The agents reduce,[start] lung cancer [end],[start] insulin resistance while normalizing membrane lipid composition [end],24523032
26,The disease is not,[start] a disease [end],[start] specific to the U.S. [end],15832489
27,Diabetes can lead,[start] to the disease [end],"[start] to several complications , including peripheral arterial disease [end]",31775555
28,Lipid peroxidation is,[start] [UNK] [end],[start] a major causative factor for the development of oxidative stress [end],28460155
29,strategies to improve,[start] patients [end],[start] patient engagement [end],27430259
30,blood pressure - and / or lipid - control were investigated,[start] [UNK] [end],[start] All studies [end],21829607
31,The major problem is identifying,[start] [UNK] [end],[start] suitable pedigrees [end],7813802
32,Recommendations for future research include,[start] [UNK] [UNK] [end],[start] studying mechanisms by outlining effects of positive emotions on managing consequences of depression in these patients [end],23402449
33,Obesity are associated,[start] with the disease [end],[start] with type 2 diabetes mellitus [end],10943809
34,aortic stiffness using,[start] [UNK] [UNK] [end],[start] multivariable logistic regression analysis [end],30928570
35,early dietary advice will delay,[start] winning or losing [end],[start] onset of disease [end],2016
36,adherence to standards of care are,[start] important for the future of the disease [end],[start] less than optimal in many patients with type 2 diabetes mellitus [end],12489382
37,This article reviews in achieving,[start] the [UNK] [end],[start] successful clinical management of this disorder [end],19962030
38,Physicians need,[start] to the patients with chronic respiratory diseases [end],[start] to be aware of the increased risk for cardiovascular disease in bipolar patients [end],22621171
39,T2DM has not been described,[start] in the [UNK] [end],[start] To date [end],2016
40,type 2 diabetes emerges,[start] the [UNK] [end],[start] as a worldwide public health problem [end],16085165
41,Therapeutic interventions focused,[start] on the need [end],[start] on shared molecular pathogenesis [end],25345504
42,The subjects had,[start] a number of industry legends including apple founders steve jobs [end],[start] fair knowledge [end],32296212
43,the primary care practitioner to best manage,[start] patients with chronic respiratory diseases [end],[start] patients with this serious disorder [end],27262256
44,CHD has,[start] [UNK] [end],[start] potential value [end],32879331
45,themes were presented,[start] to the major [UNK] the [UNK] of gastric cancer [end],[start] to a focus group of African Canadians in Calgary to garner their perspective on the findings [end],24070886
46,a complex medical disorder characterized,[start] by the disease [end],[start] by defects in insulin secretion [end],11800064
47,other environmental factors might promote,[start] the same disease [end],[start] beta - cell failure [end],16085165
48,Successful implementation promotes,[start] casual fridays with free pants [end],[start] a lifestyle that may reduce comorbidities [end],15315864
