,Subj_Pred,Obj,Obj_true,PMID
0,This supplement is intended,[start] to promote mutual understanding [end],[start] to provide a timely snapshot of the political aspects of this environment as it applies to practice internationally [end],23257320
1,the decline was,[start] in [UNK] [end],[start] 26 [end],9085391
2,contemporary cardioprotective therapies must include,[start] lung cancer [end],[start] adjunctive exercise and lifestyle interventions [end],28885265
3,clonal haematopoiesis in the absence of overt haematologic alterations is,[start] a [UNK] [end],[start] common amongst the ageing population [end],32715520
4,venlafaxine to increase,[start] the [UNK] [end],[start] blood pressure [end],18785947
5,"Development of robust policies and commitment to collaboration among professional organizations , community partners , and policy makers to improve",[start] the disease [end],[start] cardiovascular health [end],31992050
6,these factors may provide,[start] the risk of lung cancer [end],[start] an opportunity to reduce deaths [end],7736485
7,More systematic efforts for early detection are required,[start] to treat the disease [end],[start] across all Latin American countries to improve health conditions particularly for women [end],20554175
8,The decline in protein homeostasis has been associated,[start] with the progression of [UNK] [end],[start] with the development of cardiac hypertrophy [end],28757291
9,This review is intended,[start] to produce a significant effect on the health of the development of the new [UNK] mechanisms of the molecular mechanisms,"[start] to explore views of the rarely mentioned mechanism , and the cardiovascular effects of low levels of lead exposure [end]",30404996
10,our understanding of the impact of clonal haematopoiesis is,[start] in the [UNK] [end],[start] in its infancy [end],32715520
11,cardiovascular risk factors may underlie,[start] the same disease [end],[start] the association with increased morbidity [end],26972035
12,common syndromes prolonged,[start] the same disease [end],[start] QT interval [end],18319102
13,these mutations have been associated,[start] with the [UNK] of [UNK] [end],[start] with higher rates of cardiovascular disease suggesting a previously unrecognized link between somatic mutations in hematopoietic cells and chronic disease [end],30185689
14,cardiovascular disease is,[start] the most common cause of cancer death [end],[start] also a leading cause of mortality [end],20113258
15,us to explore,[start] a higher rate of the most important role of the development of the disease [end],[start] the gene - environment interactions [end],31378756
16,"The selective targeting of modifiable risk factors in childhood , including body mass index holds",[start] the same disease [end],[start] promise in reducing the burden of adult cardiovascular disease [end],29345597
17,Latin American countries have experienced,[start] a major political system [end],[start] rapid socioeconomic changes [end],20554175
18,cardiovascular disease patients focusing,[start] on the immune system [end],[start] on endurance exercise [end],19124415
19,"Epigenetic biomarkers , which include DNA methylation are",[start] the most important [UNK] of the disease [end],[start] modifiable [end],24768945
20,the progress achieved,[start] a number of patients with [UNK] [end],[start] by medical research in understanding the pathophysiology of cardiovascular disease [end],18601595
21,Business cycles affect,[start] the [UNK] [end],[start] people 's lives [end],24328889
22,women as a group have not focused,[start] on the need [end],[start] on this disease entity [end],12084395
23,These studies discussed,[start] in this review [end],[start] several major themes [end],32139199
24,Recent findings confirm,[start] the treatment of type 2 diabetes [end],[start] antioxidant activity of the renin - angiotensin - aldosterone antagonists [end],18090678
25,This review briefly summarizes,[start] the association between polypharmacy and all cause of the [UNK] [end],[start] what is known about how long - term aerobic exercise can reduce the atherogenic activity of endothelial cells [end],20932264
26,the clinical acumen filtered through the best available studies in the general population to treat,[start] the treatment of type 2 diabetes [end],[start] individual renal transplant recipients given their high cardiovascular mortality [end],18287250
27,The associated risks predispose,[start] the patients with type 2 diabetes [end],[start] to the development of cardiovascular disease [end],1772731
28,The urocortins are,[start] the same [end],[start] a group of recently defined peptide members of the corticotrophin - releasing factor family [end],21689660
29,sustained efforts for research are required,[start] to examine the association between sex and breast cancer mortality [end],[start] across all Latin American countries to improve health conditions particularly for women [end],20554175
30,The current review summarizes,[start] the [UNK] [UNK] [UNK] [UNK] in the [UNK] of [UNK] [UNK] [end],[start] recent evidence on ethnic differences in its correlates with acquired differences in plasma lipid [end],28338521
31,The risks for coronary heart disease are,[start] important [end],[start] well - known [end],25387321
32,The independence of resistin in disease prediction complicated,[start] unwilling to give up the [UNK] [end],"[start] by its confounders , such as C - reactive protein [end]",22498016
33,non-governmental organizations will contribute,[start] to improving the risk of developing complications [end],[start] to improving the lifestyle of the entire community through their activities [end],29473518
34,Conclusion : Raising prevention are,[start] important [end],[start] the key components to controlling cardiovascular diseases in refugees [end],32139199
35,Avoiding hypokalemia is,[start] a major [UNK] [end],[start] beneficial in several cardiovascular disease states including heart failure [end],14736430
36,much accumulating evidence linking,[start] the risk of gastric cancer [end],[start] modifiable risk factors that are already present in childhood [end],29345597
37,inadequate sleep duration confers heightened,[start] a [UNK] [end],[start] cardiovascular risk [end],26972035
38,These studies have focused,[start] on the need for a new method of treatment of type 2 diabetes [end],[start] on a variety of agents including periodontal pathogens [end],16222630
39,The results of this study suggest,[start] that the current canadian diabetes association clinical high prevalence risk factors [end],[start] that in assisting individuals to modify cardiovascular disease risk must address smoking as a package [end],9095456
40,a slow process can lead,[start] a [UNK] [end],[start] to fatal events over time [end],22424430
41,The results of primary trials have shown,[start] a significant effect [end],[start] conflicting evidence [end],12243615
42,the response to mirtazapine may improve,[start] mortality [end],[start] mortality [end],18785947
43,The results of this study suggest,[start] that the current canadian diabetes association clinical high prevalence risk factors [end],[start] that in assisting individuals to modify other professionals must address body mass index as a package [end],9095456
44,the evidence linking,[start] the [UNK] [end],[start] epigenetic changes [end],24768945
