,Subj_Pred,Obj,Obj_true,PMID
0,More aggressive screening measures using,[start] the risk of lung cancer [end],[start] a lower prostate - specific antigen [end],16885911
1,Markers are needed,[start] for the past 20 years on account of its clinical application advantages such as [UNK] therapy biomarkers [end],[start] for screening distinguishing latent from predicting outcome [end],21319990
2,bacterial strains to express,[start] cancer [end],[start] cancer - specific antigens [end],30324354
3,dietary strategies targeting,[start] diabetes [end],[start] metabolic syndrome [end],30893147
4,all patients having localized,[start] to the disease [end],[start] disease [end],23773409
5,targeting prostate CSCs for the prevention of treatment of prostate cancer could become,[start] the risk of gastric cancer [end],[start] a novel strategy for better treatment of patients [end],22369972
6,the companion book titled,[start] the [UNK] [UNK] [end],[start] Clinical Diagnostic Imaging of Prostate Cancer [end],30229546
7,a novel decisional aid is included,[start] the current [UNK] of cardiovascular disease [end],[start] treatment - related factors [end],29549504
8,lncRNAs may serve,[start] the same time [end],[start] as therapeutic targets helping to prevent development of castration resistance [end],28241429
9,organ confined,[start] to promote mutual passion [end],[start] disease [end],29633943
10,Markers are needed,[start] for the past 20 years on account of its clinical application advantages such as [UNK] therapy biomarkers [end],[start] for diagnosis distinguishing latent from differentiating localized from metastatic disease [end],21319990
11,Some of the new targets are,[start] [UNK] [end],[start] PARP inhibitors [end],29860848
12,The prevalence is increasing,[start] in [UNK] [end],[start] in both developed and developing nations [end],26560323
13,This overview reviews,[start] the current knowledge on the role of mirnas in molecular mechanisms [end],[start] the current state of PRS for prostate cancer including testing considerations [end],31629419
14,prognostic determinant biomarkers to minimize,[start] the treatment of type 2 diabetes [end],[start] overtreatment of localized disease [end],30181359
15,tumor - associated immune cells play,[start] a major impact on cardiovascular disease [end],[start] major roles in the initiation [end],31134920
16,Many PSMA ligands have been developed,[start] in the clinical [UNK] of lung cancer [end],[start] since the previous decade [end],32147685
17,"The interplay between genetics , diet , and prostate cancer is",[start] important [end],[start] an area of emerging focus that might help optimize therapeutic dietary response in the future through personalization [end],30893147
18,phase 3 trials did n't show,[start] the problem [end],[start] any improvement in overall survival ( OS ) especially with immune checkpoint inhibitors [end],29860848
19,Nurses for ensuring,[start] the same disease [end],[start] men have the support [end],24754104
20,Recent data have solidified,[start] the potential of identifying specific molecules on breast cancer [end],[start] the association between insulin resistance and prostate cancer with the homeostatic model assessment of insulin resistance [end],30893147
21,Physicians treating,[start] the patients with type 2 diabetes [end],[start] patients with prostate cancer [end],24274615
22,The present results suggest,[start] that the patients with chronic respiratory diseases experiencing depression [UNK] for [UNK] [end],[start] that the lymphovascular invasion were independent predictive factors for progression to castration - resistant prostate cancer [end],32500468
