,Subj_Pred,Obj,Obj_true,PMID
0,Vitamin C may play,[start] the most studied mechanisms underlying gastric cancer [end],[start] a role [end],29716592
1,TCE can significantly improve,[start] the risk of gastric cancer [end],[start] the quality of life of patients with chronic diseases [end],26525282
2,The low level of illness acceptance was noted,[start] in the clinic [end],[start] in 174 ( 62.6 % ) and high in 46 ( 16.6 % ) patients [end],25310950
3,The level of the antibacterial protein was,[start] the intensity of improvised free jazz with the best group on the best group on the best group of patients,[start] higher than lysozyme [end],15530478
4,The purpose of this study was,[start] to the development of the treatment of gastric cancer [end],[start] to compare CT - derived airway wall measurements between male smokers with and those without chronic respiratory symptoms [end],25247967
5,treatment the,[start] the risk of gastric cancer [end],[start] $ 82.99 [end],27155173
6,their selection will follow,[start] a large proportion of disability in europe [end],[start] the Preferred Reporting Items for Meta - Analyses ( PRISMA ) guidelines [end],28093435
7,Purpose : Early noninvasive ventilation ( NIV ) after extubation decreases the risk lowers,[start] the possibility of further managerial instability also [end],[start] 90 - day mortality in patients with hypercapnia [end],28393258
8,The responsiveness of the CCQ in chronic respiratory disease patients other than COPD has not been described,[start] a major role in the development of gastric cancer [end],[start] previously [end],25123253
9,Adjusted odds ratios were,[start] in the field of gastric cancer [end],[start] significant for wheeze [end],8664961
10,The International Classification of Diseases Ninth Revision was utilized,[start] to tailor the timing [end],[start] to identify acute ( acute upper respiratory diseases [end],17701667
11,patients with high levels of BALF IL - 8 could have,[start] the role of the development of gastric cancer [end],[start] high levels of IL - 10 [end],15530478
12,dyspnoea significantly improved,[start] in the clinic [end],[start] whereas the EG showed a greater improvement in transitional dyspnoea index than the CG [end],25087837
13,rats received,[start] a large proportion of disability in europe [end],"[start] either a 5 - HT7 receptor antagonist ( SB269970 , 4 mg / kg , intraperitoneal ) or a vehicle ( dimethyl sulfoxide On a daily basis [end]",32102596
14,Adjusting for gaseous pollutants models assumptions had,[start] a traditional defined benefit program [end],[start] little influence on PMc effect estimates [end],22266709
15,Purpose : Chronic respiratory disease ( CRD ) including COPD carries,[start] a high burden of responsibility on caregivers to monitor diet [end],[start] high mortality in Africa [end],30122917
16,"A systematic review of published data that investigate the relationship between asthma and lung cancer , accounting for co-occurring allergic diseases will be conducted",[start] a large proportion of disability in europe [end],[start] to investigate the independent association of asthma with lung cancer [end],28093435
17,Normal spirometry is used,[start] a significant role in the development of gastric cancer [end],[start] to preclude airway disease in individuals with unspecific respiratory symptoms often [end],31248954
18,spirometry is,[start] male [end],[start] integral for the diagnosis [end],32252783
19,Home supervision of the patient is performed,[start] the same time [end],[start] by a nurse [end],7995407
20,analysis include,[start] the same time [end],[start] original reports of case - control studies of the association of asthma with lung cancer [end],28093435
21,exposure assessed,[start] with the development of diabetes [end],[start] at baseline adjusting for education [end],20522851
22,"Adults who reported any respiratory symptoms ( frequent cough , frequent phlegm , or past year wheeze ) were",[start] in the clinic [end],[start] more likely to report fair / poor health [end],24040892
23,likelihood ratios were,[start] in the clinic [end],[start] 36 weeks pca 35 % [end],10378399
24,Results was associated,[start] with the development of diabetes [end],"[start] with various other comorbidities , including tobacco use [end]",29156003
25,The frequency of low PEFR was,[start] a major role in the development of gastric cancer [end],[start] substantially higher in men with CLRD when compared with normal subjects [end],8020264
26,chronic respiratory diseases affected,[start] in the clinic [end],[start] by difficult to treat infections [end],28509852
27,balance improvement to provide,[start] the same time [end],[start] the foundation for optimal design of future studies [end],26814219
28,ETL was defined,[start] in the united states [end],[start] as the ratio of DALYs from communicable diseases to those from non-communicable diseases [end],30219316
29,Vaccination coverage was,[start] the first six months of the year [end],[start] 19.9 % in children [end],17875577
30,Barriers reflect,[start] the same time [end],[start] inconsistent care coordination contributing to the physical isolation of these children [end],18410643
31,The maximum annual costs of treatment were,[start] that the cabinet was sheltering a top croatian war crimes suspect after the great western world war [end],"[start] US$ 1501.79 for budesonide , representing respectively 40 % , 15 209 % of per capita income in Burkina Faso [end]",27155173
32,spirometry has normality of,[start] the first time [end],[start] 95 % [end],31248954
33,Monitoring of respiration during sleep should be incorporated,[start] in the clinic [end],[start] in the evaluation of high - risk patient populations improves outcomes [end],31554703
