,Subj_Pred,Obj,Obj_true,PMID
0,the maximum amount of therapy can tolerate,[start] that the two israeli soldiers in israeli territory on 12 july 2006 [end],[start] towards a new paradigm [end],24890450
1,This disease has,[start] the most studied mechanisms underlying gastric cancer [end],[start] a lot of similarities with female breast cancer [end],16630739
2,these subtypes are closely correlated,[start] with the development of diabetes [end],[start] to clinical variables [end],23412797
3,much clinical attention has been focused,[start] in the field of gastric cancer [end],[start] on saving the lives of women with this condition [end],17678765
4,The aim of this article is,[start] the same time [end],"[start] to overview the reality of breast cancer at present , trying to clarify the numerous elements of classification , otherwise confusing [end]",16555440
5,pathologic approaches have yielded,[start] the same time [end],[start] an unprecedented change in our understanding of the heterogeneity of breast cancer metastasis Recently [end],31421262
6,Genetic mutations should be suspected,[start] in the clinic [end],[start] in women [end],8610264
7,This review serves,[start] the same time [end],[start] to report on important developments in the treatment of breast malignancies [end],24171821
8,the social issues related to the disease will be reviewed,[start] the same time [end],[start] In this final section [end],25002350
9,males with breast cancer have none of the recognised risk factors indicating,[start] the first six months of the year [end],[start] the gaps in our knowledge of the epidemiology of this disease [end],26989051
10,"Approximately 230,480 new cases of invasive breast cancer and 39,520 breast cancer deaths to occur",[start] in the field of gastric cancer [end],[start] among US women in 2011 [end],21969133
11,Knowledge of response to treatment making,[start] the role of the development of gastric cancer [end],[start] the survival rates for patients with breast cancer more optimistic [end],8827331
12,Making efforts to improve the overall survival for patients with breast cancer must be,[start] the first six months of the year [end],[start] the top priority for our surgeon [end],30704209
13,definitions used,[start] to the development of a predominant factor was found to be infection of helicobacter pylori advances in gastric cancer [end],[start] in clinical outcome measures [end],23618694
14,Breast cancer have been used,[start] in the field of gastric cancer [end],[start] for guiding the management of patients [end],16211226
15,This paper 's mail goal is,[start] to the development of the treatment of gastric cancer [end],"[start] to elucidate this entity , by presenting several aspects of the disease including major differences between the groups of breast cancer patients , by reviewing the current medical literature till April 2011 [end]",21680175
16,male patients compared,[start] the same time [end],[start] with females [end],26989051
17,treatment options maximize,[start] a significant role in the development of gastric cancer [end],[start] long - term survival while accounting for life expectancy [end],23915745
18,improved methods of classification promise,[start] that the favorable effects of other heart rate lowering agents [end],[start] better patient prognosis [end],24171821
19,other guidelines are utilized,[start] to tailor the timing [end],[start] all over the world frequently [end],20414016
20,The histopathological characteristics of these cancers might be driven,[start] in the clinic [end],[start] by specific genetic alterations providing direct evidence for genotypic - phenotypic correlations between morphological patterns and molecular changes in breast cancer [end],19942925
21,younger women have,[start] the same time [end],[start] a poorer prognosis In relation to older women [end],8610264
22,primary prevention may contribute,[start] to the development of t2 dm [end],[start] to a decrease in mortality [end],29284222
23,patients aged,[start] in the field of gastric cancer [end],[start] 40 years [end],21969133
24,mediators enhances,[start] the risk of gastric cancer [end],[start] the immune system 's recognition [end],31157481
25,omitting surgery is,[start] the clinical application in the management of gastric cancer [end],[start] an effective alternative to surgery in breast cancer [end],32378709
26,women who have been classified as members of the high - risk groups have,[start] the same time [end],"[start] expectations of effective prevention or prophylactic therapy that can not , as yet , be delivered [end]",8947910
