,Subj_Pred,Obj,Obj_true,PMID
0,ROBO2 were detected,[start] in the clinic [end],[start] with methylation.specific PCR in 36 [end],27461616
1,mRNAs play,[start] the most studied mechanisms underlying gastric cancer [end],[start] critical roles in the tumorigenesis of GC [end],27547004
2,Gastric cancer remains,[start] a major role in the development of gastric cancer [end],[start] a challenge for clinicians [end],16825900
3,the mortality from distal gastric cancer has declined,[start] a large proportion of disability in adults with type 1 diabetes mellitus [end],[start] concomitant with the eradication of infection [end],12590229
4,regimens have resulted,[start] in the clinic [end],[start] in the contemporary treatment of GC [end],26873521
5,its natural history is,[start] a major role in the development of gastric cancer [end],[start] relatively long [end],17249273
6,active agents improve,[start] the risk of gastric cancer [end],[start] the survival of gastric cancer patients [end],26494953
7,The exploration targeted,[start] the 200607 season [end],[start] therapy of neoadjuvant treatment in LAGC [end],33256300
8,Recent encouraging results with the preoperative approach need,[start] to investigate the level of the world war [end],[start] to be studied prospectively compared to postoperative chemoradiation [end],16166979
9,secondary prevention of gastric cancer is,[start] the most important advances in the field of gastric cancer [end],[start] possible [end],12590229
10,The provision of conversion therapy for stage IV GC patients might be,[start] in the field of gastric cancer [end],[start] one of the main roles of surgical oncologists in the near future [end],26643880
11,the main treatment for advanced gastric cancer is,[start] the most studied mechanisms underlying gastric cancer [end],[start] the combination of immunotherapy [end],28671042
12,H. pylori induces,[start] the risk of gastric cancer [end],[start] cellular alterations in genes [end],21088411
13,the publication of a large phase III neoadjuvant chemotherapy clinical trial suggested,[start] that the risk of gastric cancer is largely [end],[start] that this technique may downstage tumors [end],15297947
14,Management of gastric cancer from screening to definitive treatment varies,[start] a high burden of responsibility on caregivers to monitor diet [end],"[start] substantially between Eastern and Western countries owing to numerous factors , including government incentives to carry out population - wide screening programmes to detect early disease , differences in biological , patient accessibility to effective treatment [end]",31178345
15,the chemotherapies used,[start] to the development of a predominant factor [end],[start] for palliation [end],19712167
16,several aspects of surgical intervention remain,[start] the most studied mechanisms underlying gastric cancer [end],[start] controversial [end],31455923
17,Methods were taken,[start] to the systematic reviews using the next generation of the american gastroenterological association [end],[start] into account in this review [end],17229238
18,Incidence of EGC shows,[start] in the clinic [end],[start] considerable geographic variation [end],17249273
19,a steady decline in the incidence rates of gastric carcinoma has been observed,[start] a significant role in the development of gastric cancer [end],[start] in the last century worldwide [end],25320505
20,the second leading cause of cancer related mortality in China seriously endanger,[start] the same time [end],[start] the lives of Chinese people [end],33256300
21,this strategy be applied,[start] to the development of the treatment of gastric cancer [end],[start] to this high - risk population [end],12590229
22,the disease results,[start] a significant role in the development of gastric cancer [end],[start] in late - stage diagnosis often [end],26809278
23,toxicities may be,[start] a major public health problem [end],[start] severe [end],21129674
24,review studies conducted,[start] to the development of the treatment of gastric cancer [end],[start] on Mexican patients [end],24782602
25,The incidence of gastric cancer has been declining globally,[start] a significant role in the development of gastric cancer [end],[start] in the last decades [end],28176656
26,H. pylori eradication prevents,[start] the use of gastric cancer [end],[start] the progression of AG and IM [end],25547086
27,anticancer research has focused,[start] the risk of gastric cancer [end],[start] on the various genetic markers In the field of genetics [end],25997695
28,H. pylori infection are,[start] a major role in the development of gastric cancer [end],[start] highly prevalent Korea [end],24659868
29,further studies are,[start] a high burden of responsibility on caregivers to monitor diet [end],[start] necessary to achieve validation [end],25278684
30,ongoing debate regarding,[start] the clinical application of gastric cancer [end],"[start] the role of adjuvant treatment In advanced disease , palliation of symptoms [end]",15890270
31,prevention of H. pylori colonization can reduce,[start] the risk of gastric cancer [end],[start] the incidence of gastric cancer [end],27184043
32,detection is dependent on,[start] the same time [end],[start] a low threshold [end],1549800
33,the family is,[start] the city [end],[start] the core unit of transmission [end],12590229
34,long ncRNAs play,[start] the risk of gastric cancer [end],[start] critical roles in the tumorigenesis of GC [end],27547004
35,This review highlights,[start] the intensity of improvised free jazz with the best group on the best group on the use of gastric cancer,"[start] recent advances in studies of gastric CTCs , including the biological molecular characteristics of gastric CTCs [end]",28147337
36,gastric cancer participating,[start] in the development of type 2 diabetes mellitus [end],[start] in immunosuppression [end],24259966
37,The treatment of gastric cancer patients is,[start] a major role in the development of gastric cancer [end],[start] mainly radical surgical resection while patients with metastatic tumor have great challenges to radical surgery [end],31276633
38,Surgical resection is,[start] the most important advances in the field of gastric cancer [end],[start] the gold standard curative treatment for gastric cancer [end],10074655
39,evidence to be,[start] a significant effect on the incidence of t1 d supplementation [end],[start] insufficient [end],26917602
