,Subj_Pred,Obj,Obj_true,PMID
0,Immune - based interventions are opening up,[start] to the development of the treatment of gastric cancer [end],[start] entirely novel therapeutic avenues [end],12908509
1,few randomized controlled trials addressing,[start] the most studied mechanisms underlying gastric cancer [end],[start] fatigue and diabetes - related symptoms [end],29944065
2,i ) YWD e p e p,[start] in the united states [end],[start] in EE [end],26771087
3,These data in planning,[start] to investigate the association between executive functioning and patients with crd and the international bank [end],[start] resource allocation [end],16898876
4,Few studies report,[start] the same time [end],[start] on all admissions to hospital [end],18053255
5,1 diabetes is associated with,[start] the leading cause of death in women worldwide [end],[start] chronic hyperglycemia [end],12502506
6,Intensive training of professionals in the field is,[start] the first six months of the year [end],[start] necessary [end],30799818
7,the younger age at onset may suggest,[start] that the favorable effects of other heart rate lowering agents [end],"[start] a stronger genetic susceptibility , associated with a more aggressive autoimmune process [end]",26062518
8,diabetes is worldwide,[start] a major role in the development of gastric cancer [end],[start] a growing health challenge [end],15229371
9,public health campaign is,[start] the same time [end],[start] a potential opinion of the healthcare personnel [end],29083332
10,The patient was,[start] a large proportion of disability in europe [end],[start] a 71 - year - old woman with aquaporin -4-antibody positive neuromyelitis optica [end],30918186
11,Type 1 diabetes presenting in adults is predominantly determined,[start] with the development of diabetes [end],[start] by non-genetic factors [end],12116172
12,The 5 -10-years risk for type 1 diabetes varies,[start] a significant effect on the incidence of t1 d supplementation [end],[start] from 0 - 1 % in individuals with only one positive antibodies to 62 - 100 % in subjects [end],11460579
13,T1 DM has the pathogenesis of,[start] the risk of gastric cancer [end],[start] 1 diabetes mellitus [end],20351698
14,an autoimmune disorder afflicting,[start] that the risk of gastric cancer is changing in the united states can encourage their patients with chronic respiratory diseases,[start] millions of people worldwide [end],20432533
15,a single factor to cause,[start] the same time [end],"[start] an increase in the incidence of diabetes all over the world , which suggests that a multifactorial process might be involved [end]",23733895
16,Our aim was,[start] to tailor the timing [end],[start] to estimate this effect [end],21465326
17,significant advances have been made,[start] in the clinic [end],[start] in the clinical care of T1 D [end],20723815
18,autoantibody positive subjects are,[start] a large proportion of disability in europe [end],[start] at maximum risk for disease [end],16611168
19,The aim of this study was,[start] to the systematic reviews using the three ncds in the public [end],[start] to investigate the cognitive functioning of patients with type 1 diabetes ( including a subgroup ) and nondiabetic controls [end],17546438
20,working memory were related,[start] to the development of the treatment of gastric cancer [end],[start] to adherence [end],20215458
21,Limiting loss of endogenous insulin secretion using immunomodulation could be,[start] a traditional defined benefit program [end],[start] valuable for type 1 diabetes [end],16478821
22,The aim of the study was,[start] to tailor the timing [end],[start] to evaluate the neurofunctional effect of gender in Type - 1 Diabetes Mellitus ( T1DM ) patients during a Visual Spatial Working Memory ( VSWM ) task [end],30027655
23,This Seminar gives,[start] the same time [end],[start] an overview of potential future directions for research [end],29916386
24,Self - Management Profile to assess,[start] the role of the development of gastric cancer [end],[start] treatment adherence [end],20215458
25,The model of care in childhood diabetes mellitus must be focussed,[start] the risk of gastric cancer [end],[start] on earlier intervention if adverse outcomes are to be reduced [end],15813600
26,the disease onset having,[start] a high burden of responsibility on caregivers to monitor diet [end],[start] a role at the level of perpetuation of the autoimmunity process [end],24582332
27,different insulin requirements were detected,[start] in the field of gastric cancer [end],[start] In vivo experiments present meaningful profiles for other situations [end],27686710
28,"larger studies , with extended follow - up are",[start] a large proportion of disability in europe [end],[start] clearly of interest to investigate this treatment concept [end],26003192
29,executive functioning skills ( e.g. were related,[start] to the development of a predominant factor was found to be infection of cardiovascular disease in the interpretation of spirometry,[start] to adherence [end],20215458
30,The main outcome measure was,[start] the first six months of the year [end],[start] relative risk of death according to comorbidities [end],21465326
31,Both factors must become,[start] the most studied mechanisms underlying gastric cancer [end],[start] part of targeted diabetes care [end],30912245
32,intensive management with multiple daily injections or insulin pump therapy and the support of a specialist multidisciplinary team is,[start] the same time [end],[start] now standard care in 2014 [end],25529223
33,This study aimed to find,[start] the need for a new strategies for the patient [end],[start] the predictors of blood glucose control [end],23749254
34,These results indicate,[start] that the risk of gastric cancer is largely [end],[start] the leading role of chronic enteric toxic infectious process in the development of complications of type 1 diabetes [end],12428285
35,Longer treatment duration was associated,[start] with the development of t2 d [end],[start] with greater improvements in psychological symptoms [end],25330352
36,2 case control studies met,[start] the first six months of the year [end],[start] the inclusion criteria Twelve cohort [end],28489876
37,Several risk factors have been associated,[start] to the development of diabetes possibly through the amelioration of their antiinflammatory actions [end],[start] with type 1 DM [end],14652163
38,ROC analysis showed,[start] that the favorable effects of other heart rate lowering agents [end],"[start] that the optimum cut - off value for GA was 33.5 % with sensitivity and specificity of 97.4 % and 96.8 % , respectively [end]",26477482
39,Findings suggest,[start] that the favorable effects of other heart rate lowering agents [end],[start] that sex differences should be considered when studying T1DM - disease development [end],30027655
40,Moderate physical activity protected,[start] to the development of diabetes possibly through the amelioration of their antiinflammatory actions [end],[start] against high LDL - C levels [end],26840670
41,Poisson regression was used,[start] to tailor the timing [end],[start] to model mortality rates by calendar time [end],23949580
42,the body 's natural defense system mistakenly attacks,[start] a large proportion of disability in europe [end],[start] the healthy cells [end],32421967
43,Diabetes care provision should pay,[start] the role of the development of gastric cancer [end],[start] particular attention to patients with co-existing neurodevelopmental disorders such as ADHD [end],28708247
44,Areas covered,[start] the same time [end],[start] This review will cover the epidemiologic characteristics of the influence of race [end],31081398
45,The distribution of these genes in the Mediterranean region is not,[start] the most studied mechanisms underlying gastric cancer [end],[start] completely known still [end],10362460
46,85 % of the women declared having received,[start] the 200607 season [end],[start] information about preconception care [end],16357787
47,that prediction of type are,[start] a significant effect on the incidence of t1 d supplementation [end],[start] under way Now [end],10496000
48,EE moderated,[start] the 200607 season [end],[start] the impact of NDRE on CA among youth 11 - 13 yr [end],26771087
49,67 % were,[start] a number of top writers like nancy harmon jenkins in the mediterranean the mediterranean the focus of the mediterranean the,[start] positive [end],22558802
50,investigators are using,[start] the first six months of the year [end],[start] new technologies to characterize immune responses toward these proteins [end],31010879
51,Studies have shown,[start] that the risk of gastric cancer is largely [end],[start] that adolescents ( young women ) have an increased risk for sub-clinical eating disorders [end],12880184
52,BMT can be used,[start] in the clinic [end],[start] to treat T1DM [end],18789598
53,Parents completed,[start] the same time [end],"[start] questionnaires , including Behavioral Rating Inventory of Executive Function [end]",28318073
54,A better understanding of the role of gut may provide,[start] the most studied mechanisms underlying gastric cancer [end],[start] us with powerful prognostic tools in the near future [end],29929213
55,This article synthesizes,[start] the intensity of improvised free jazz with the best group on the best group on the use of gastric cancer,[start] the existent findings [end],19323958
56,T1D to be triggered,[start] a large proportion of disability in europe [end],"[start] by environmental factors , including virus infections in genetically predisposed individuals [end]",17667707
57,another proteolytic pathway may have,[start] the same time [end],[start] a significant role in the autoimmunity process [end],24582332
58,Combinations can be used,[start] the same time [end],[start] for selection of first - degree relatives of patients with T1 DM for primary intervention trials [end],15794911
59,peripubertal changes in body shape predispose,[start] the first six months of the year [end],[start] young women to develop unhealthy eating attitudes [end],10436248
60,Results suggest,[start] that the favorable effects of other heart rate lowering agents [end],[start] that overall burden is higher for those diagnosed with T1DM than respondents without diabetes [end],27812145
61,This review seeks,[start] to the treatment of the patient [end],[start] to characterize emerging concepts [end],29039056
62,the owner decided to euthanize,[start] the 200607 season [end],[start] the animal [end],20446034
63,NDRE impact,[start] the most studied mechanisms underlying gastric cancer [end],[start] higher levels of BF [end],26771087
64,novel therapeutic approaches by targeting,[start] the same time [end],[start] deregulated autophagy offering novel opportunities to personalized medicine [end],24582332
65,adolescents had been diagnosed,[start] in the field of gastric cancer [end],[start] with type 1 diabetes to assess their reactions to their child 's diagnosis [end],26165784
66,This chapter of the Yearbook of Treatments in Diabetes reviews,[start] the bands [end],[start] the key articles that have appeared in this field between January 2008 and June 2009 [end],20377666
67,environmental exposures are,[start] a major role in the development of gastric cancer [end],[start] potential triggers of autoimmunity [end],19476469
68,its co-evolution could have been altered,[start] in the clinic [end],[start] by changes to antibiotic usage [end],22753003
69,Stem cell therapy offers,[start] a significant role in the development of gastric cancer [end],[start] a solution to the cited challenges of islet transplantation [end],23572052
70,This qualitative study enables,[start] that the favorable effects of other heart rate lowering agents [end],[start] us to understand what patients feel [end],32168173
71,Novel concepts regarding the rate have been put,[start] in the clinic [end],[start] forward [end],19502978
72,the patients ' contribution to overall mortality statistics is,[start] a major public health problem [end],[start] disproportionately large because of the high rate of microvascular complications [end],12762954
73,Its epidemiological background make,[start] the same time [end],[start] Sardinia an ideal region for investigating environmental [end],20920447
74,strategies to prevent,[start] the first time [end],[start] the diagnosis of type 1 diabetes in people [end],31533907
75,the patients ' contribution to overall morbidity is,[start] a large proportion of disability in europe [end],[start] disproportionately large because of the high rate of microvascular complications [end],12762954
76,this article addresses,[start] the use of gastric cancer [end],[start] clinical strategies to mitigate cardiovascular risks [end],29407057
77,Study design were administered to,[start] the same time [end],[start] 167 youth [end],16769387
78,This study showed,[start] that the favorable effects of other heart rate lowering agents [end],[start] that patients with DMT1 have a faster decrease in PHF over time than comparably aged persons from the general population [end],15789936
79,Specific items with greatest improvement were,[start] the same time [end],[start] when to monitor ketone levels ( +79 % [end],31227198
80,Genetic factors act together,[start] in the clinic [end],[start] to accelerate development of type 1 diabetes [end],25880886
81,those same therapeutic strategies seek to prevent,[start] the first six months of the year [end],[start] progression to insulin - dependence or even to reestablish normal glucose tolerance [end],7821148
82,Current research focuses,[start] in the development of type 2 diabetes mellitus [end],[start] on the metabolic [end],31343814
83,1 diabetes is associated with,[start] the leading cause of death in women worldwide [end],[start] several empirically supported and dietary restraint [end],19323958
84,Patients offered,[start] in the clinic [end],[start] CBT [end],28419661
85,this study examined,[start] the role of the development of gastric cancer [end],[start] the humanistic burden of T1 DM in patients relative to those without the condition across a number of health outcomes including health status [end],27812145
86,NDRE impact,[start] the most studied mechanisms underlying gastric cancer [end],[start] higher levels of EP [end],26771087
87,The type of insulin therapy did not significantly affect,[start] the risk of gastric cancer [end],[start] the percentage of the wear - day spent in sedentary time [end],31083260
88,the IAA are,[start] a large proportion of disability in europe [end],[start] most prevalent [end],22558802
89,The initial immune response engenders,[start] the risk of gastric cancer [end],[start] secondary responses which collectively result in impairment of beta - cell function [end],20377666
90,Diabetes management guidelines offered by health care teams understandably place,[start] a high burden of responsibility on caregivers to monitor diet [end],[start] a high burden of responsibility on caregivers to monitor physical activity with the ultimate goal of maintaining tight glycemic control [end],25009119
91,These studies are,[start] a significant role in the development of gastric cancer [end],[start] large [end],18446141
92,This study aims,[start] to the systematic reviews using the literature on the flowchart to searching on cinahl [end],[start] to determine at what age during childhood the GAD are most prevalent [end],22558802
93,Earlier trials showed,[start] that the risk of gastric cancer is largely [end],[start] that the natural progression of disease can be altered with conventional immune suppression [end],16932263
94,these results suggest,[start] that the favorable effects of other heart rate lowering agents [end],[start] that treatment strategies for T1 DM should balance clinical burden [end],27812145
95,II / III clinical trials have demonstrated,[start] that the favorable effects of other heart rate lowering agents [end],[start] safety To date [end],17412305
96,Assessment of sedentary behaviors in children consisted,[start] the use of gastric cancer [end],[start] of 215 children with T1 D in comparison to healthy controls.The study group [end],31083260
97,Treatment produced significant reductions in blood glucose eating,[start] the same time [end],[start] disorder symptoms [end],25330352
98,her hemoglobin A1c level was,[start] a quanto1 plan [end],[start] low ( 7.1 % On admission [end],30918186
99,Patients in the cohort had,[start] that the presence of a typical sbc s translocation t [end],[start] a faster decrease in three RAND - EQ - VAS over time than the estimated decrease in the general population [end],15789936
100,almost 30 - year old model has stood,[start] a large proportion of disability in europe [end],[start] the test of time [end],23786297
101,A modified multiple baseline design was used,[start] to tailor the timing [end],[start] to determine if improved on - off - task behavior was associated with better glycemic control [end],16492429
102,The creation of a network of study sites or cooperative groups will allow,[start] the 200607 season [end],[start] for the implementation of new protocols [end],10496000
103,the major hypotheses associated,[start] with the development of t2 dm [end],[start] with discussing the future frontiers [end],23912764
104,The rapid increase in disease frequency over the past 50 years or more has been,[start] a significant role in the development of gastric cancer [end],[start] too rapid to attribute to genetics [end],32475523
105,particular allele combinations affect,[start] the risk of gastric cancer [end],[start] T cell recognition to autologous molecules [end],31534209
106,These findings lead,[start] to the development of the treatment of gastric cancer [end],[start] to speculation about the interaction of these two diseases in our patient [end],1557342
107,The purpose of prediction is,[start] to the development of a predominant factor [end],[start] initial studies suggest that it is possible to modify the disease process [end],15536874
108,The model of care in childhood diabetes mellitus must be focussed,[start] the risk of gastric cancer [end],[start] on earlier screening if adverse outcomes are to be reduced [end],15813600
109,Pilot studies of new immunomodulatory agents with improved side - effect profiles have demonstrated,[start] a significant effect on the incidence of t1 d supplementation [end],[start] promise in preserving c - peptide in new - onset type 1 diabetes patients recently [end],17940453
110,Summary : Functional alterations in the microbiota are linked to pathogenesis of T1 D provide,[start] the same time [end],[start] a rationale for future investigations [end],31145129
111,This article reviews,[start] the bands [end],[start] economic methodologies developed for estimating cost of illness [end],20723816
112,These articles included,[start] that the favorable effects of other heart rate lowering agents [end],"[start] 13 quantitative ( 7 cross-sectional , 2 cohort [end]",29944065
113,Hispanic children using,[start] the first six months of the year [end],[start] insulin pumps [end],32889433
114,This review will cover,[start] the bands [end],[start] the epidemiologic characteristics of T1 DM [end],31081398
115,a complex disease to manage,[start] the first time [end],[start] children [end],17059972
116,both approaches have,[start] the potential to permanently stop type 1 diabetes in combination [end],[start] their disadvantages [end],23648893
117,The microbiota are,[start] the most studied mechanisms underlying gastric cancer [end],[start] an important part of the internal environment [end],28188825
118,Novel biomarkers have allowed,[start] the role of the development of gastric cancer [end],[start] the introduction of bioinformatics for assimilating the new data into clinical tools [end],32421967
119,approaches combining,[start] that the presence of a predominant factor was found to be infection of cardiovascular disease in the interpretation of spirometry,"[start] effective stem cell strategies with islet transplantation , immunomodulatory drug regimens , and / or novel bioengineering techniques [end]",23572052
120,"""""""""""""""""""""""""""""""The discovery of """""""""""""""""""""""""""""""" metabolic memory"""""""""""""""""""""""""""""" underscores",[start] the bands [end],[start] the importance of excellent metabolic control [end],17616634
121,forth high - dimensionality data have allowed,[start] the bands [end],[start] for a more mechanistic approach in understanding the etiology of T1D [end],23912764
122,Recent studies agree,[start] that the favorable effects of other heart rate lowering agents [end],"[start] that counterintuitively , the major genetic susceptibility factors are decreasing in frequency as the incidence of the condition increases [end]",26659804
123,Sixty - six of the persons were followed up,[start] in the clinic [end],[start] in 1990 [end],8281732
124,recipients underwent,[start] the 200607 season [end],[start] total body irradiation ( TBI ) and subsequent bone marrow cells During BMT procedure [end],18789598
125,the participants explained their difficulties in managing,[start] the same time [end],[start] their disease [end],32168173
126,Predictive biosimulation research evaluating therapeutic strategies and to focus,[start] the role of the development of gastric cancer [end],[start] experimental research on hypotheses likely to provide insight into its treatment [end],20491795
127,diabetes remains,[start] a major role in the development of gastric cancer [end],[start] an important medical problem that affects adults [end],31533907
128,The purpose of this article was,[start] to the development of the treatment of gastric cancer [end],[start] to review recent guideline recommendations on glucose monitoring while providing practical recommendations for the management of surgical patients with type 1 diabetes [end],28913745
129,genes involved,[start] in the field of gastric cancer [end],[start] in genetic susceptibility [end],12116172
130,even improvement in beta - cell mass is,[start] in the field of gastric cancer [end],[start] the goal of therapy Ultimately [end],16932263
131,the younger age at the higher levels of autoantibodies may suggest,[start] that the favorable effects of other heart rate lowering agents [end],"[start] a stronger genetic susceptibility , associated with a more aggressive autoimmune process [end]",26062518
132,14 controls matched by age performing,[start] a traditional defined benefit program [end],[start] a block - design VSWM paradigm [end],30027655
133,Diabetic education are,[start] a significant role in the development of gastric cancer [end],[start] critical in achieving this goal [end],8805027
134,higher levels of DA will be associated,[start] with the development of diabetes possibly through the amelioration of their antiinflammatory actions [end],[start] with higher CA [end],26771087
135,this Complications Trial era relating,[start] to the treatment of the patient [end],[start] to macrovascular complications [end],16898876
136,An improved knowledge of the pathogenic mechanisms of enterovirus infections should help,[start] that the favorable effects of other heart rate lowering agents [end],[start] to uncover preventive strategies for T1DM [end],20351698
137,research efforts have been,[start] in the clinic [end],"[start] rekindled ' in this area to address , using modern techniques , many unanswered questions recently [end]",19502978
138,the outcomes adjusted,[start] in the clinic [end],[start] for age [end],30912245
139,This article presents,[start] the need for a new strategies for the patient [end],[start] the latest estimates of the economic impact of type [end],20723816
140,Executive functioning was measured,[start] in the clinic [end],[start] using the Behavior Rating Inventory of Executive Functioning [end],20215458
141,The prevalence of fatigue is influenced is needed,[start] in the clinic [end],[start] to confirm these relationships as causal inference is unclear [end],29944065
142,Diapedesis relies,[start] with the development of diabetes possibly through the amelioration of their antiinflammatory actions [end],[start] on a series of proteolytic events [end],20685342
143,any of a number of emerging technologies e.g. will impact,[start] the need for a new strategies for the patient [end],[start] the lives of those with recently diagnosed or established type 1 diabetes eventually [end],27959859
144,The objective of this study was,[start] to tailor the timing [end],[start] to investigate perceived health ( PHF ) of patients with type [end],15789936
145,this study examined,[start] the role of the development of gastric cancer [end],[start] the humanistic burden of T1 DM in patients relative to those without the condition across a number of health outcomes including health work productivity loss [end],27812145
146,our present knowledge concerning,[start] the risk of gastric cancer [end],[start] the etiopathogenesis of human diabetes [end],9642624
147,the invigoration of regulatory T - cells can mediate,[start] the first preparations [end],[start] long - term tolerance to beta - cell proteins in the pancreatic islets [end],19114721
148,controversy concerning,[start] the risk of gastric cancer [end],[start] a pathogenic versus protective role of Th17 cells in murine models of diabetes in the context of influence of gut microbiota [end],26843788
149,Type 1 diabetes is,[start] a major role in the development of gastric cancer [end],[start] an irreversible degenerative disease with severe complications such as neuropathy [end],28552218
150,lack of access to insulin contribute most,[start] the bands [end],[start] to the mortality of people with type 1 diabetes [end],30799818
151,56 subjects aged from 19 to 50 years divided,[start] a large proportion of disability in europe [end],[start] into 2 groups [end],25294115
152,patients have [number of] type diabetes,[start] in the field of gastric cancer [end],[start] 1 [end],17546438
153,an autoimmune disease characterised,[start] in the clinic [end],[start] by the destruction of pancreatic beta cells by autoreactive T cells [end],24582332
154,Participants were,[start] a high burden of responsibility on caregivers to monitor diet [end],[start] 29 women with type 1 diabetes [end],25330352
155,The clinical nature of autoimmune diabetes poses,[start] the risk of gastric cancer [end],[start] important therapeutic questions regarding conventional therapy for therapy [end],16478821
156,Areas covered,[start] the same time [end],[start] This review will cover the epidemiologic characteristics of the influence of geographical variation on the outcome [end],31081398
157,The purpose of this article was,[start] to the development of the treatment of gastric cancer [end],[start] to review recent guideline recommendations on therapeutic strategies while providing practical recommendations for the management of medical patients with type 1 diabetes [end],28913745
158,improved treatments prevent,[start] the first six months of the year [end],[start] diabetes complications [end],12083947
159,several empirically supported,[start] to the systematic reviews using the next generation of the increasing numbers on the world [end],"[start] eating disorder risk factors eg , and dietary restraint [end]",19323958
160,adolescents had been diagnosed,[start] in the field of gastric cancer [end],[start] with type 1 diabetes to assess their SOC [end],26165784
161,none of the patients have achieved,[start] in the clinic [end],[start] normoglycemia in the absence of insulin injections [end],17176121
162,the severity of the disease vary,[start] a large proportion of disability in europe [end],[start] from patient to patient [end],17412305
163,The presence of GAD in the absence of IAA was associated,[start] with the development of t2 d [end],[start] with more severe clinical presentation [end],22558802
164,Many theories tried to explain,[start] the bands [end],"[start] the epidemiological correlation between infections and diabetes , supported by information from animal studies [end]",19393195
165,EP will moderate,[start] the risk of gastric cancer [end],[start] NDRE impact higher levels of FI [end],26771087
166,Diabetes causes,[start] the risk of gastric cancer [end],[start] serious coping problems because of the need for continuous observation [end],32168173
167,socioeconomic status was,[start] to investigate the national discussion of options [end],[start] a statistically significant independent predictor of mortality [end],28489876
168,genetic and environmental factors leading,[start] to the development of diabetes possibly through the amelioration of their antiinflammatory actions [end],[start] to a humoral autoimmune response against beta cell specific components [end],11460579
169,this study examined,[start] the role of the development of gastric cancer [end],[start] the economic burden of T1 DM in patients relative to those without the condition across a number of health outcomes including health work productivity loss [end],27812145
170,Multisystem therapy involving,[start] the most studied mechanisms underlying gastric cancer [end],[start] peer group [end],19700362
171,several gene level interventions are,[start] that the risk of gastric cancer is largely [end],[start] vectors [end],30372820
172,the most common problems are,[start] a significant role in the development of gastric cancer [end],[start] failure to administer insulin [end],12085460
173,Preliminary evidence indicates,[start] that the risk of type 2 diabetes mellitus in adolescents with type 1 diabetes mellitus [end],[start] that cyclosporin ( Sandimmune ) treatment can halt beta cell destruction in about 50 % of patients with newly diagnosed type [end],3554198
174,the autoreactive immune cells result,[start] to the development of the treatment of gastric cancer [end],[start] in an augmented immune response [end],30045024
175,This study aimed,[start] in the clinic [end],[start] to find the predictors of blood glucose control [end],23749254
176,1 Diabetes Mellitus ( T1DM ) in Europe to be,[start] the first six months of the year [end],[start] on the rise [end],27812145
177,The fast increase in the incidence of childhood type 1 diabetes mellitus led,[start] in the clinic [end],[start] us to look for environmental causes [end],12116171
178,"Epidemiologic patterns of T1 D by geographic , and other factors in populations are presented",[start] to the development of a predominant factor [end],[start] to gain insight about the risks [end],20723815
179,The adverse effects need,[start] in the clinic [end],[start] to be addressed appropriately [end],9047087
180,a large randomized clinical trial to evaluate,[start] the risk of gastric cancer [end],[start] its efficacy further in T1D [end],30159816
181,new protocols aimed,[start] to investigate the national discussion of options [end],[start] at preventing the disease [end],10496000
182,certain interventions that require further detailed studies to ensure,[start] the risk of gastric cancer [end],[start] their effectiveness [end],30372820
183,children aged,[start] a significant difference in the immunostaining of tumours from the world [end],[start] under six years [end],22558802
184,peripubertal changes in body weight predispose,[start] the same time [end],[start] young women to develop unhealthy eating attitudes [end],10436248
185,glucose levels to rise,[start] to the development of t2 dm [end],[start] above a diagnostic threshold [end],18446141
186,i ) YWD e p n d r e d a c a,[start] in the united states [end],[start] in EE [end],26771087
187,the minimisation of hyperglycaemia reducing,[start] the same time [end],[start] the risk of microvascular complications [end],25529223
188,i.e. the autophagic pathway constitutes,[start] the same time [end],[start] the principal regulated catabolic process [end],24582332
189,the patients ' contribution to health care economic burden to society is,[start] the first six months of the year [end],[start] disproportionately large because of the high rate of macrovascular complications [end],12762954
190,The good cardiorespiratory fitness ( expressed by Vo2max has,[start] the 200607 season [end],[start] clinical and QoL benefits for paediatric patients with T1DM [end],23749254
191,Integrating these advances has led,[start] to the treatment of the patient [end],[start] to the recognition that the balance between regulatory and effector T cells determines timing of disease activation [end],20432533
192,indi - cates type 1 diabetes occupy,[start] the first six months of the year [end],[start] different poles of the same spectrum [end],16478821
193,the owner decided,[start] the 200607 season [end],[start] to euthanize the animal [end],20446034
194,Autoimmune diseases occur,[start] in the field of gastric cancer [end],[start] when the body 's natural defense system fails to differentiate its own cells from the foreign cells [end],32421967
195,Findings on admission included,[start] the same time [end],[start] a normal HbA1c level [end],21043053
196,young people are beginning to experience,[start] a large proportion of disability in europe [end],[start] effects of alcohol consumption [end],26264336
197,The 5 year survival probability of patients without comorbidities was,[start] the same time [end],[start] 74 % [end],21465326
198,Assessment of the complex combinations of the medical symptoms required,[start] the first six months of the year [end],[start] the interaction of psychological services [end],9729705
199,The prevalence rate will rise,[start] in the clinic [end],"[start] """"""""""""""""""""""""""""""when studies will excavate bottom layers of the """""""""""""""""""""""""""""""" celiac iceberg """""""""""""""""""""""""""""""" to detect potential celiac cases"""""""""""""""""""""""""""""" [end]",30045024
200,63 % showed,[start] that the favorable effects of other heart rate lowering agents [end],[start] reduced LDL C [end],26840670
201,19 cross sectional met,[start] the 200607 season [end],[start] the inclusion criteria Twelve cohort [end],28489876
202,"""""""""""""""""""""""""""""""the subgroup with """""""""""""""""""""""""""""""" poor """""""""""""""""""""""""""""""" metabolic control"""""""""""""""""""""""""""""" lost",[start] the same time [end],"[start] significantly more height """"""""""""""""""""""""""""""compared to patients with """""""""""""""""""""""""""""""" good """""""""""""""""""""""""""""""" metabolic control"""""""""""""""""""""""""""""" Among patients with a prepubertal onset [end]",9877034
203,investigators are using,[start] the first six months of the year [end],[start] new methods to identify autoantigens [end],31010879
204,environmental factors act together to precipitate,[start] the first six months of the year [end],[start] the disease [end],16847277
205,new technologies are expanding,[start] the role of the development of gastric cancer [end],[start] our ability to understand microbial host interactions [end],31145129
206,11 - 13 yr r,[start] the clinical setting [end],[start] 48.2 % [end],26771087
207,investigators are using,[start] the first six months of the year [end],[start] new methods to characterize immune responses toward these proteins [end],31010879
208,"the interplay between infection with enteroviruses , the immune system and host genes is discussed",[start] to the development of a predominant factor [end],[start] In this Review [end],20351698
209,even mono - zygotic twins have a concordance rate of around 50 % underlining,[start] the same time [end],[start] other factors [end],24746688
210,not adults amplify,[start] the same time [end],[start] the rate of disease progression [end],12116172
